dim_brows,meta_65,month_14,sentiment_6,YEAR,field_chann,NATIONALITY,dim_376,gjr42,customer_time_of_day,arena,yearval,deviceType,time_of_day_14,time_of_day_info,placeholder,lum19,dim_bro,var_devi,epoch,month_v2,schema_definition,time_of_day,d_518,shipping_method_raw,event_name_field,unitofmeas,start_date,day_of_week_val,day_of_week,definition_22,colour,timeOfDay,user_year,dim_quarter,end_date,startDate,pricing_strategy_data,legal_entity_ident,dim_period_interval,browserUserAgent,CRON_SCHEDULE,devtype,date_time_info,endDate,DATE,lndn38,bpo23,tel_country_code,ethnicityRace,market_value_data,vertical,src_device_type,f_mdwl,BROWSER_USER_AGENT,score_index_data,dateval,x_582,impact,field_qua,cronval,src_data_type,date,v_at,TIME_OF_DAY,user_date,dayOfWeek,dateTime,year_14,channel_raw,START_DATE,formula_expression_6,timeval,attr_925,gouy22,startdt,meta_703,DAY_OF_WEEK,browser,disability_sts,fact_status_state,var_time,month,recurrence,customer_tenant_identifier,MONTH,meta_ho,period_interval_14,cron_schedule_22,fact_middle_name,enddt,emzffz22,time_of_day_22,dte,end_date_2,customer_end_date,quarter_field,isolang,period_interval_info,var_day,from_date,quarter,DATA_LINEAGE,dev_type,field_date,CHANNEL,device_type_info,raw_start_date,end_dte,NUMERIC_RANGE,src_policy_definition,monthval,firefox,score_index,start_dte,quarter_2,month_name,time_of_day_field,field_mar,day_name,mflb50,QUARTER,date_2,DATE_TIME,f_432,SCORE_INDEX,standard_deviation_22,qtrval,fact_month,cnn_features,meta_ok,naics,service_level_agreement_val,end_date_val,raw_modified_at,vrewuw98,MAPPING_TRANSFORM,q1,channel
Chrome,2024-08-20,December,Positive,2007,Phone,Sweden,Free,Unisex,22:36:52,Convention Center,2025,IoT,07:25:41,07:08:30,Dear {{customer}},Q4 2022,Chrome,IoT,FY 2025,March,CREATE TABLE t (id INT PRIMARY KEY),20:28:50,1997,Freight,Tech Summit 2023,L,2023-09-08,Saturday,Sunday,A formal definition of compliance.,Blue,11:35:20,2006,Q3 2020,2019-04-02,2026-02-08,Market-based,ZSAZHLPPIGHQNAO86ULE,Jan-Mar,Opera,26 6 * * *,Smart TV,2024-09-20T00:00:00Z,2025-02-20,2020-10-21,8.62,IoT,+49,Asian,"$258,712,590",Education,Smart TV,March,Firefox,0.37,2026-02-02,2024-09-11T00:00:00Z,Low,Q4 2020,"13 1 * * 0,6",INTEGER,2024-03-21,2024-11-23,04:53:38,2023-07-14,Tuesday,2026-01-03T00:00:00Z,2018,In-Store,2018-02-10,BMI = kg/m²,11:07:05,11:44:40,UTC,2018-12-26,Phone,Wednesday,Edge,Mobility,failed,14:45:52,January,46 11 * * *,tenant-007,October,37 3 * * 1-5,2020-2025,"28 18 * * 0,6",N,2026-03-10,In-Store,06:55:05,2023-10-20,2023-11-03,2023-01-18,Q3 2022,fr,2020-2025,Monday,2023-06-08,Q4 2025,raw.users -> analytics,Smart TV,2023-08-05,Chat,Desktop,2021-08-11,2022-09-22,22-73,MFA required for admin,December,Opera,6.69,2021-04-23,Q3 2020,April,00:34:19,Competitor Meridian Health launched StreamLine ERP,Thursday,2.47,Q2 2024,2025-04-19,2018-10-14T00:00:00Z,355.13,8.47,5.2704,Q1 2021,June,"[0.4433, -0.095, 0.5895, -0.0677, -0.1056, 0.8298, 0.3858, -0.4564]",5 9 * * *,298236,99.222% uptime,2026-09-05,2018-02-07T19:36:56Z,5786795862,input -> field_b,Q4 2023,Email
Opera,2021-05-06,May,Neutral,1995,Chat,Spain,Free,Female,19:02:50,Grand Ballroom,2009,IoT,23:08:18,01:59:25,Order #{{id}},Q3 2020,Safari,Mobile,Q1 2024,January,"{""type"": ""object"", ""properties"": {}}",23:33:49,2023,Overnight,Annual Forum 2022,m,2020-09-29,Saturday,Friday,A operational definition of data quality.,Yellow,18:36:49,2002,Q4 2021,2019-10-25,2023-03-26,Market-based,YZLXN67PC4NSYVWN9M49,Q1 2024,Safari,"42 23 * * 0,6",Desktop,2018-04-17T00:00:00Z,2025-10-24,2021-01-16,3.95,IoT,+86,Black,"$598,322,097",Healthcare,IoT,November,Firefox,3.38,2026-09-27,2023-11-18T00:00:00Z,Info,Q4 2023,38 13 * * *,TIMESTAMP,2019-11-06,2018-10-20,14:55:23,2023-11-15,Saturday,2022-06-09T00:00:00Z,2020,Phone,2024-06-26,E = mc²,13:30:40,00:35:17,PST,2019-08-14,Web,Tuesday,Brave,Hearing,inactive,17:25:35,December,"27 19 * * 0,6",tenant-026,September,6 1 * * *,2020-2025,56 10 * * 1-5,X,2023-12-15,Chat,06:23:48,2018-08-02,2025-09-16,2021-02-02,Q3 2026,fr,FY 2025,Sunday,2020-07-21,Q4 2021,curated.events -> analytics,IoT,2019-10-26,Email,Tablet,2018-07-31,2021-03-08,29-91,MFA required for admin,April,Safari,7.14,2019-05-29,Q4 2025,September,19:23:43,Competitor DataCraft Inc launched VaultKeeper,Wednesday,3.01,Q3 2025,2022-07-11,2020-05-20T00:00:00Z,879.24,6.46,42.611,Q2 2021,May,"[0.9965, -0.1374, -0.1195, -0.4958, 0.1746, 0.4359, 0.4221, -0.0125]",45 21 * * *,984897,99.347% uptime,2021-02-09,2022-10-15T02:47:56Z,84448385,input -> field_b,Q1 2020,Email
Firefox,2023-07-21,June,Negative,1999,Social Media,Germany,Enterprise,Unisex,13:26:06,Conference Hall,2023,Mobile,18:40:54,21:34:06,Hello {{name}},Q3 2025,Safari,Wearable,Q1 2024,October,"{""type"": ""object"", ""properties"": {}}",11:54:02,2018,Same Day,Data Summit 2026,°C,2023-05-09,Saturday,Wednesday,A operational definition of compliance.,White,11:11:17,1998,Q2 2025,2023-04-20,2020-02-29,Penetration,B7BZNSVY3ILVYBJOASHM,2020-2025,Chrome,"35 6 * * 0,6",IoT,2020-12-21T00:00:00Z,2021-07-13,2026-06-01,1.23,Smart TV,+91,Hispanic,"$919,823,409",Manufacturing,IoT,December,Brave,4.43,2018-10-14,2021-08-15T00:00:00Z,Critical,Q4 2022,"56 6 * * 0,6",BOOLEAN,2026-01-28,2020-05-01,04:27:12,2024-05-04,Wednesday,2018-09-07T00:00:00Z,2007,Social Media,2019-09-22,F = ma,06:12:19,06:31:58,CET,2026-08-26,Phone,Tuesday,Firefox,Cognitive,approved,21:18:50,February,19 16 * * *,tenant-050,August,44 18 * * 1-5,Jan-Mar,4 11 * * *,U,2019-01-05,Web,19:41:17,2023-08-22,2026-02-16,2019-12-23,Q1 2026,hi,FY 2025,Sunday,2021-04-30,Q2 2024,staging.users -> exports,Tablet,2021-05-26,Mobile,Desktop,2021-08-27,2026-03-23,32-96,Data retained for 7 years,June,Safari,6.16,2024-10-14,Q4 2021,September,00:46:03,Competitor Pioneer Software launched VaultKeeper,Sunday,2.85,Q4 2021,2023-03-04,2022-10-08T00:00:00Z,627.5,5.81,12.6846,Q2 2020,October,"[1.0465, -0.7799, -0.3434, 0.2645, -0.0571, -0.778, -0.6144, -0.3348]",23 20 * * *,518594,99.105% uptime,2020-03-03,2022-11-17T20:54:27Z,419324024756,field_a -> target_col,Q4 2020,In-Store
Safari,2018-06-19,April,Positive,1996,Mobile,Netherlands,Basic,Female,00:14:35,Grand Ballroom,2007,Desktop,17:43:59,19:56:30,Dear {{customer}},Q4 2021,Chrome,Mobile,Q1 2024,March,CREATE TABLE t (id INT PRIMARY KEY),16:51:33,2022,Express,Data Summit 2023,L,2019-10-03,Sunday,Thursday,A formal definition of compliance.,Orange,18:23:49,2012,Q3 2025,2020-11-23,2019-08-08,Market-based,UPE56AI6FQ8XUSEKX993,2020-2025,Safari,32 21 * * 1-5,Wearable,2019-02-12T00:00:00Z,2023-11-17,2020-06-23,0.62,Desktop,+81,Mixed,"$153,807,169",Energy,Tablet,May,Edge,6.9,2022-03-10,2022-09-09T00:00:00Z,Info,Q1 2025,37 16 * * 1-5,VARCHAR,2022-11-14,2019-11-29,09:51:17,2026-08-03,Monday,2021-07-11T00:00:00Z,2000,Chat,2021-10-14,BMI = kg/m²,00:08:17,21:33:08,JST,2018-06-04,Web,Saturday,Edge,Cognitive,rejected,17:41:18,August,"13 3 * * 0,6",tenant-032,January,"55 9 * * 0,6",FY 2025,16 5 * * *,C,2025-11-17,Email,09:49:27,2026-05-06,2022-05-04,2022-11-26,Q4 2021,fr,2020-2025,Monday,2019-03-30,Q4 2024,curated.events -> analytics,Tablet,2026-06-16,Phone,Mobile,2023-02-23,2018-01-31,25-83,Data retained for 7 years,July,Brave,2.17,2022-06-21,Q3 2020,June,12:15:58,Competitor Pioneer Software launched FlexPay Platform,Wednesday,0.35,Q3 2021,2023-01-11,2022-07-16T00:00:00Z,307.48,8.9,36.6392,Q1 2025,December,"[-0.5921, 0.0658, 0.2427, -1.4621, 0.2722, -0.1079, 0.1574, -0.387]",21 3 * * *,649023,99.391% uptime,2020-03-12,2025-10-03 18:30:46,6480200363,field_a -> target_col,Q4 2023,Social Media
Firefox,2024-02-16,April,Negative,2010,Mobile,Sweden,Trial,Unisex,15:37:55,Convention Center,2001,IoT,11:57:14,08:51:28,Order #{{id}},Q2 2023,Chrome,Tablet,H2 2023,July,CREATE TABLE t (id INT PRIMARY KEY),02:46:08,2023,Standard,Tech Forum 2026,kg,2020-01-08,Friday,Saturday,A operational definition of risk.,Blue,00:29:57,2005,Q2 2024,2020-12-26,2023-08-24,Market-based,VMK0QM74WJSF62E0D3F1,Jan-Mar,Safari,53 16 * * *,IoT,2022-10-31T00:00:00Z,2018-11-05,2026-08-05,5.74,Tablet,+91,Black,"$182,436,791",Energy,Mobile,September,Safari,7.41,2021-06-10,2020-02-20T00:00:00Z,Low,Q2 2023,44 7 * * 1-5,FLOAT,2022-02-04,2020-05-21,21:31:18,2021-11-02,Sunday,2025-04-06T00:00:00Z,1992,Social Media,2025-02-22,BMI = kg/m²,21:09:57,13:04:00,CET,2019-01-30,Social Media,Wednesday,Safari,Hearing,cancelled,01:24:28,November,9 0 * * *,tenant-025,June,28 21 * * 1-5,Q1 2024,33 9 * * *,S,2019-09-06,Chat,18:44:31,2024-11-27,2022-06-23,2020-06-27,Q3 2023,ko,Q1 2024,Sunday,2022-10-12,Q2 2025,curated.orders -> analytics,Wearable,2023-01-26,Web,Wearable,2019-03-24,2025-07-11,30-100,Data retained for 7 years,December,Firefox,4.17,2018-03-31,Q4 2021,March,21:59:40,Competitor DataCraft Inc launched StreamLine ERP,Saturday,0.61,Q3 2020,2021-03-03,2019-11-19T00:00:00Z,820.14,0.79,40.1925,Q4 2024,November,"[0.3649, 0.0009, 0.0919, 0.137, -0.3824, -0.8852, -0.8248, 0.1131]",1 22 * * *,351131,99.597% uptime,2026-12-09,2023-05-01T16:34:19Z,13250310,field_a -> output,Q4 2023,Mobile
Chrome,2025-04-14,March,Mixed,2004,Phone,Israel,Enterprise,Unisex,21:01:58,Amphitheater,2006,IoT,04:19:45,11:59:15,{{date}} - {{event}},Q4 2026,Firefox,Wearable,Q1 2024,August,"{""type"": ""object"", ""properties"": {}}",19:46:47,2020,Freight,Tech Forum 2025,°F,2025-05-15,Wednesday,Thursday,A systematic definition of risk.,Green,04:46:09,2020,Q4 2021,2020-07-12,2024-07-18,Market-based,XR2AEHP4CSOABHQO8WR2,FY 2025,Brave,47 6 * * *,Desktop,2020-10-05T00:00:00Z,2026-01-27,2020-01-14,1.13,Wearable,+1,White,"$596,287,846",Technology,IoT,October,Edge,3.98,2026-10-29,2021-06-23T00:00:00Z,Low,Q2 2023,"10 4 * * 0,6",TIMESTAMP,2026-02-20,2018-08-10,19:16:22,2022-07-12,Sunday,2023-12-09T00:00:00Z,2018,Web,2020-08-16,F = ma,10:28:36,01:58:19,JST,2018-03-19,Social Media,Monday,Opera,Cognitive,approved,20:03:55,September,"41 10 * * 0,6",tenant-028,February,"51 0 * * 0,6",H2 2023,10 4 * * 1-5,D,2021-10-04,Social Media,20:26:23,2026-04-12,2022-10-15,2025-01-23,Q2 2020,fr,FY 2025,Thursday,2021-02-17,Q2 2021,curated.users -> analytics,Wearable,2018-08-15,Web,Desktop,2022-06-22,2018-05-06,4-70,Data retained for 7 years,January,Edge,5.53,2023-12-23,Q2 2025,September,16:35:43,Competitor Skyline Partners launched DataSync 3000,Thursday,2.29,Q3 2025,2020-05-08,2021-10-05T00:00:00Z,516.59,1.37,41.2565,Q3 2025,December,"[0.8738, 0.1123, 0.1072, -0.0853, 0.01, -0.3307, 0.0026, -0.6083]",28 13 * * *,255474,99.418% uptime,2018-05-10,2024-04-13T16:16:08Z,9787070052,field_a -> field_b,Q2 2023,Chat
Brave,2018-05-04,February,Mixed,2016,Web,Germany,Basic,Male,23:39:20,Grand Ballroom,2021,Wearable,00:39:24,20:25:34,{{date}} - {{event}},Q2 2023,Opera,IoT,2020-2025,November,message Msg { string id = 1; },04:18:00,2024,Same Day,Tech Expo 2025,L,2023-02-02,Saturday,Saturday,A operational definition of data quality.,Red,01:34:35,2002,Q2 2024,2024-02-20,2025-10-08,Premium,GXP8M3N2PP9H6DTBFMSY,FY 2025,Safari,29 16 * * *,IoT,2025-12-24T00:00:00Z,2025-04-20,2025-09-26,7.11,Tablet,+81,White,"$295,939,538",Healthcare,Desktop,July,Firefox,8.59,2021-05-31,2018-12-29T00:00:00Z,Low,Q4 2020,58 17 * * 1-5,TEXT,2025-05-12,2018-10-08,21:17:34,2021-01-17,Tuesday,2019-12-19T00:00:00Z,1990,Chat,2025-06-05,E = mc²,10:21:48,15:14:55,UTC,2021-02-03,Web,Wednesday,Chrome,Cognitive,approved,08:41:23,June,53 11 * * 1-5,tenant-045,July,"26 11 * * 0,6",Q1 2024,57 19 * * *,O,2019-11-11,Chat,23:37:02,2022-07-14,2019-12-17,2021-12-24,Q1 2025,de,H2 2023,Saturday,2019-12-08,Q4 2025,staging.orders -> reports,Wearable,2024-03-22,Social Media,Wearable,2019-07-01,2018-07-19,31-97,MFA required for admin,March,Opera,5.81,2024-10-07,Q4 2022,July,20:29:55,Competitor Skyline Partners launched FlexPay Platform,Sunday,2.28,Q1 2021,2020-10-09,2024-04-29T00:00:00Z,877.59,9.92,5.0027,Q1 2023,March,"[-0.3938, 0.1766, -0.4062, 0.2287, -1.2159, 0.4868, -0.4186, -0.6761]",12 10 * * *,589312,99.722% uptime,2024-12-09,2020-12-08 03:39:41,2070602589,field_a -> target_col,Q3 2023,Social Media
Opera,2022-10-16,March,Neutral,1994,Social Media,Spain,Basic,Male,23:35:28,Convention Center,1999,Smart TV,04:26:26,13:51:47,{{date}} - {{event}},Q3 2020,Edge,IoT,Jan-Mar,February,CREATE TABLE t (id INT PRIMARY KEY),07:46:44,1995,Same Day,Tech Conference 2025,ft,2024-03-05,Wednesday,Monday,A operational definition of risk.,Green,23:05:12,1991,Q3 2022,2026-02-13,2025-01-12,Premium,DG9KIXHN3RTEIA9N4FHN,Q1 2024,Edge,37 18 * * 1-5,Desktop,2022-05-17T00:00:00Z,2025-05-05,2024-11-23,0.21,IoT,+44,Asian,"$842,578,817",Finance,Desktop,December,Chrome,1.43,2026-02-03,2021-12-04T00:00:00Z,High,Q1 2025,16 14 * * *,TEXT,2025-02-09,2018-12-23,14:07:07,2020-04-21,Tuesday,2023-02-15T00:00:00Z,2009,Mobile,2023-12-01,F = ma,06:34:15,10:54:00,America/New_York,2021-11-30,Social Media,Thursday,Edge,Cognitive,cancelled,14:41:05,December,9 8 * * 1-5,tenant-021,January,1 18 * * *,Jan-Mar,24 21 * * 1-5,E,2024-12-19,Mobile,15:01:26,2019-02-20,2023-12-13,2025-12-05,Q3 2026,zh,H2 2023,Thursday,2020-02-19,Q4 2025,staging.orders -> analytics,IoT,2025-11-13,Web,IoT,2020-03-20,2021-10-04,20-63,PII encrypted at rest,April,Safari,3.27,2026-03-05,Q3 2025,April,00:25:48,Competitor Pioneer Software launched VaultKeeper,Thursday,4.79,Q1 2020,2024-01-24,2023-06-20T00:00:00Z,694.99,6.83,8.6045,Q1 2024,August,"[0.0549, 0.054, -0.5268, 0.3629, 0.3695, -0.409, -0.3191, -0.8338]",30 22 * * 1-5,796558,99.696% uptime,2024-03-07,2020-09-14T02:47:19Z,4649945358,source_col -> output,Q4 2021,Social Media
Opera,2024-10-17,November,Positive,2025,Chat,Sweden,Enterprise,Male,21:06:55,Convention Center,2010,Tablet,03:12:47,19:35:51,{{date}} - {{event}},Q4 2024,Safari,Desktop,2020-2025,July,"{""type"": ""object"", ""properties"": {}}",06:41:00,2022,Freight,Data Expo 2021,L,2023-01-12,Friday,Tuesday,A operational definition of risk.,Orange,08:39:48,2000,Q2 2023,2022-03-16,2020-04-19,Market-based,RSSB8HNOOIL14YBBHXAM,Jan-Mar,Safari,55 21 * * *,Wearable,2019-03-05T00:00:00Z,2023-11-23,2022-01-08,3.68,Mobile,+49,Black,"$800,982,366",Technology,Wearable,June,Brave,3.76,2021-03-27,2019-04-06T00:00:00Z,Critical,Q1 2026,"57 1 * * 0,6",JSON,2023-12-14,2024-12-20,21:46:15,2023-08-25,Wednesday,2020-12-13T00:00:00Z,2003,Phone,2024-06-25,PV = nRT,15:13:41,13:10:55,JST,2018-05-11,In-Store,Thursday,Brave,Cognitive,rejected,17:11:19,November,"0 19 * * 0,6",tenant-040,April,43 17 * * *,H2 2023,"5 5 * * 0,6",X,2021-09-21,Mobile,14:54:48,2018-12-02,2019-03-19,2022-01-16,Q3 2023,ja,Q1 2024,Tuesday,2021-12-26,Q4 2021,raw.events -> exports,Wearable,2020-09-27,Phone,Desktop,2018-02-24,2026-10-29,12-94,Data retained for 7 years,November,Opera,4.48,2021-06-01,Q4 2025,May,12:09:23,Competitor Skyline Partners launched VaultKeeper,Tuesday,3.99,Q3 2024,2025-04-13,2026-01-07T00:00:00Z,9.46,1.88,3.6738,Q2 2020,May,"[-0.1518, 0.1119, -0.0392, -0.5958, 0.4593, 0.3735, 0.1816, 0.1402]",5 2 * * 1-5,701881,99.937% uptime,2021-08-14,2023-12-13 03:34:16,9095504550,field_a -> field_b,Q2 2026,In-Store
Safari,2023-12-26,December,Negative,2023,Web,Israel,Trial,Female,02:27:14,Convention Center,1990,IoT,13:13:14,08:36:16,{{date}} - {{event}},Q3 2026,Chrome,Tablet,2020-2025,April,CREATE TABLE t (id INT PRIMARY KEY),16:32:07,2013,Freight,Annual Expo 2020,°C,2021-01-15,Monday,Tuesday,A formal definition of compliance.,Yellow,19:56:26,2024,Q1 2021,2026-05-05,2023-12-21,Cost-plus 25%,8645DRC6SCA9G2SYF0DL,Q1 2024,Firefox,2 22 * * *,Desktop,2020-04-28T00:00:00Z,2024-07-09,2023-10-09,6.45,Desktop,+61,Mixed,"$810,744,963",Technology,Smart TV,March,Brave,7.47,2026-07-21,2026-03-01T00:00:00Z,Medium,Q2 2022,"19 16 * * 0,6",VARCHAR,2018-11-21,2025-03-02,07:21:00,2024-02-18,Thursday,2020-03-03T00:00:00Z,2008,Email,2026-05-12,F = ma,08:30:15,11:30:38,CET,2021-11-28,Email,Wednesday,Firefox,Hearing,cancelled,18:14:09,March,10 6 * * *,tenant-036,May,30 22 * * 1-5,FY 2025,27 4 * * 1-5,P,2019-01-22,Web,01:36:04,2025-12-05,2025-08-17,2023-05-29,Q3 2021,de,Q1 2024,Wednesday,2024-05-25,Q3 2023,curated.users -> reports,Tablet,2023-06-29,Chat,Mobile,2026-11-22,2019-06-24,30-58,Data retained for 7 years,February,Firefox,9.71,2023-02-27,Q1 2025,February,10:53:13,Competitor Vertex Technologies launched VaultKeeper,Tuesday,6.76,Q1 2026,2022-09-07,2024-04-21T00:00:00Z,332.1,9.57,10.9033,Q2 2025,October,"[-1.1537, 0.2037, 0.2018, -0.3015, -0.2912, 0.6936, 0.0231, 0.1498]",54 1 * * *,159140,99.737% uptime,2021-06-10,2024-11-07 18:46:28,905199031026,source_col -> target_col,Q1 2020,In-Store
