product_name,color,f_774,col_size,length,dim_baqr,revenueSales,global_trade_item_number,attr_ags,weight_mass,agreement,crs57
CloudGuard,Orange,ProSeries,S,170.67,The system manages data processing activities.,"$2,974,536",4186210427523,"scalability, performance",216.24,CC BY 4.0,Electronics
StreamLine ERP,Blue,SmartChoice,XXL,308.39,The system manages data processing activities.,"$817,458",6335331060053,"security, analytics",796.94,CC BY 4.0,Clothing
CloudGuard,Red,SmartChoice,XL,107.77,The product tracks transaction histories.,"$3,181,079",9386613315520,"scalability, automation, data, integration, analytics",458.83,MIT,Hardware
FlexPay Platform,Brown,ProSeries,XS,67.42,This record monitors operational metrics.,"$8,382,494",1892419562525,"analytics, automation, data, reporting, security",511.08,CC BY 4.0,Clothing
StreamLine ERP,Brown,TechBrand,S,21.31,The system tracks customer interactions.,"$7,190,001",3910257432630,"monitoring, reporting, automation",134.35,GPL-3.0,Hardware
Widget Pro,Gray,SmartChoice,XXL,812.73,The system represents operational metrics.,"$5,751,028",3380339685270,"reporting, analytics",953.67,MIT,Hardware
CloudGuard,Black,EcoLine,XS,173.76,The customer account represents customer interactions.,"$8,514,171",1674233629344,"scalability, security, compliance, reporting, data",951.02,GPL-3.0,Services
AuditTrail Plus,Green,SmartChoice,L,422.75,The customer account monitors customer interactions.,"$8,087,630",0661498282467,"reporting, compliance, integration, scalability",72.03,Apache-2.0,Hardware
Sentinel Monitor,Black,EcoLine,S,4.28,The customer account tracks compliance records.,"$6,788,310",6656749160169,"security, integration, compliance",771.29,CC BY 4.0,Food
StreamLine ERP,Orange,ProSeries,XXL,57.8,The service monitors customer interactions.,"$4,067,006",7050249724399,"data, analytics, monitoring",644.43,BSD-3-Clause,Services
VaultKeeper,Blue,ValueMax,S,876.02,This record monitors operational metrics.,"$5,071,402",8869461195243,"compliance, data, cloud, reporting, monitoring",96.96,CC BY 4.0,Services
StreamLine ERP,Purple,ProSeries,XXL,431.01,This record tracks customer interactions.,"$2,254,718",3728179323023,"integration, reporting, analytics, cloud",79.9,MIT,Services
DataSync 3000,White,TechBrand,M,29.76,This record monitors compliance records.,"$1,692,296",0040901380698,"reporting, scalability, automation, integration",336.62,CC BY 4.0,Food
NanoCore SDK,Black,ProSeries,XXL,398.53,The customer account includes operational metrics.,"$5,541,763",1076209184357,"performance, integration, security, data, automation",957.55,GPL-3.0,Electronics
NanoCore SDK,Red,ProSeries,XXL,444.36,The customer account monitors compliance records.,"$1,366,149",5671649328980,"reporting, analytics, compliance",832.37,Proprietary,Services
CloudGuard,Orange,TechBrand,L,662.68,This record represents customer interactions.,"$2,860,391",1160256434712,"analytics, automation, security, scalability, monitoring",343.29,CC BY 4.0,Hardware
AuditTrail Plus,Gray,SmartChoice,S,223.63,The system tracks data processing activities.,"$1,869,688",1593195256904,"monitoring, performance",189.94,BSD-3-Clause,Services
NanoCore SDK,Yellow,EcoLine,XL,663.78,The customer account represents data processing activities.,"$6,633,241",0875243772942,"monitoring, automation",308.96,CC BY 4.0,Electronics
FlexPay Platform,Brown,SmartChoice,XXL,828.7,The service tracks compliance records.,"$987,711",5233027642086,"integration, reporting, automation, scalability",391.12,Proprietary,Hardware
