eunhv25,abstract_summary,book_title,source_attribution,c_uw,score_index,isbn,var_titl,issn,f_ulhs,attr_dcmv,bodytext
10.4314/b297.23,This paper presents a framework for data classification.,1984,WHO,French,9.82,978-3-99804-354-0,Annual Summary 2024,1213-9769,Robinson et al. (2016),2017,The system includes customer interactions.  The product manages data processing activities.  The product tracks customer interactions.  The system monitors operational metrics.
10.8609/p229.6,This paper presents a novel approach for data classification.,To Kill a Mockingbird,Bloomberg,Portuguese,5.17,978-0-84012-643-1,Executive Analysis 2023,4817-7020,Jones et al. (2002),2011,The service monitors customer interactions.  The service includes data processing activities.
10.1204/o883.1,This paper presents an analysis for anomaly detection.,To Kill a Mockingbird,CDC,Portuguese,2.74,978-4-23218-397-7,Quarterly Summary 2026,6093-8007,Thompson et al. (2018),2011,The service tracks customer interactions.  The product represents operational metrics.
10.8526/o488.35,This paper presents a framework for anomaly detection.,To Kill a Mockingbird,Eurostat,Korean,8.11,978-3-99196-949-9,Technical Report 2023,7320-1557,Davis et al. (2023),2000,This record monitors data processing activities.  The system tracks data processing activities.  The customer account tracks data processing activities.  The service includes operational metrics.
10.2599/t724.25,This paper presents a framework for anomaly detection.,Dune,Reuters,German,0.58,978-4-73919-603-2,Technical Analysis 2020,2498-6921,Clark et al. (2020),2012,This record represents transaction histories.  The product includes compliance records.  This record manages data processing activities.  The service represents transaction histories.
10.9337/c428.47,This paper presents a framework for anomaly detection.,To Kill a Mockingbird,WHO,English,6.62,978-3-13501-689-8,Annual Summary 2020,9552-4530,Rodriguez et al. (2006),2007,This record monitors customer interactions.  The product monitors transaction histories.  The system manages compliance records.  The service manages customer interactions.
10.5659/p248.19,This paper presents a framework for entity resolution.,1984,Eurostat,Portuguese,4.64,978-2-22365-919-8,Executive Summary 2021,1337-7669,Martinez et al. (2015),2009,The customer account represents customer interactions.  The service manages customer interactions.
10.5945/q594.2,This paper presents a framework for anomaly detection.,Dune,CDC,Chinese,1.04,978-2-83420-826-9,Annual Summary 2022,5338-9621,King et al. (2004),2014,The service monitors customer interactions.  This record includes customer interactions.
10.6531/q198.9,This paper presents a framework for anomaly detection.,To Kill a Mockingbird,WHO,Portuguese,2.23,978-0-43568-916-1,Executive Summary 2022,8661-7968,Anderson et al. (2022),2001,The product monitors transaction histories.  The service manages operational metrics.
10.2881/n706.12,This paper presents a novel approach for entity resolution.,The Great Gatsby,Bloomberg,Korean,1.04,978-5-96120-247-8,Technical Summary 2022,8442-1477,Robinson et al. (2020),2010,The system tracks compliance records.  The product tracks transaction histories.
