bemv47,movieFilmTitle,data_format,mime_type,labelTag,translation,attr_lurb,artwork_creative_work,c_cap,awardName
Hotel California,The Godfather,JSON,text/csv,experimental,Namaste,Olivia is a Product Manager with 7 years of experience.,The Scream,Figure 19: Overview,Excellence Award
Yesterday,Blade Runner,CSV,image/png,experimental,Hola,James is a Software Engineer with 23 years of experience.,The Persistence of Memory,Figure 1: Distribution,Gold Medal
Yesterday,Interstellar,CSV,text/html,experimental,Namaste,Susan is a VP Engineering with 19 years of experience.,The Scream,Figure 10: Comparison,Excellence Award
Hotel California,Interstellar,YAML,application/pdf,stable,Hola,Harper is a CTO with 22 years of experience.,The Persistence of Memory,Figure 4: Comparison,Excellence Award
Bohemian Rhapsody,Inception,CSV,text/html,stable,Konnichiwa,Mary is a Sales Rep with 21 years of experience.,The Persistence of Memory,Figure 1: Comparison,Gold Medal
Bohemian Rhapsody,Blade Runner,YAML,text/csv,needs-review,Namaste,Emily is a VP Engineering with 10 years of experience.,The Scream,Figure 8: Overview,Employee of the Month
Bohemian Rhapsody,The Godfather,Avro,text/csv,high-priority,Guten Tag,Amy is a Sales Rep with 4 years of experience.,The Scream,Figure 4: Overview,Innovation Award
Imagine,Blade Runner,JSON,application/pdf,experimental,Guten Tag,Emily is a Sales Rep with 21 years of experience.,Starry Night,Figure 4: Distribution,Excellence Award
Stairway to Heaven,Blade Runner,Parquet,application/json,experimental,Konnichiwa,Elizabeth is a Product Manager with 21 years of experience.,The Scream,Figure 8: Overview,Innovation Award
Hotel California,Blade Runner,Avro,application/pdf,high-priority,Hola,William is a CTO with 22 years of experience.,The Scream,Figure 7: Timeline,Gold Medal
Hotel California,Inception,Avro,application/json,experimental,Bonjour,Richard is a Designer with 30 years of experience.,Water Lilies,Figure 3: Comparison,Excellence Award
Imagine,The Godfather,YAML,application/json,stable,Konnichiwa,Elizabeth is a CTO with 26 years of experience.,The Scream,Figure 16: Comparison,Best Paper
Bohemian Rhapsody,The Godfather,JSON,text/csv,stable,Bonjour,Aiden is a CTO with 9 years of experience.,The Scream,Figure 8: Overview,Employee of the Month
Stairway to Heaven,Inception,XML,application/pdf,stable,Bonjour,Oliver is a Designer with 9 years of experience.,The Persistence of Memory,Figure 9: Overview,Excellence Award
Imagine,Inception,XML,image/png,deprecated,Hola,James is a Designer with 22 years of experience.,Starry Night,Figure 19: Overview,Employee of the Month
Yesterday,Blade Runner,JSON,application/xml,approved,Hola,Sarah is a Product Manager with 30 years of experience.,The Persistence of Memory,Figure 2: Distribution,Excellence Award
Bohemian Rhapsody,The Godfather,CSV,application/xml,high-priority,Guten Tag,Logan is a Software Engineer with 15 years of experience.,Water Lilies,Figure 18: Timeline,Innovation Award
Imagine,The Matrix,Parquet,application/pdf,deprecated,Konnichiwa,Mary is a Designer with 9 years of experience.,The Persistence of Memory,Figure 18: Distribution,Employee of the Month
Yesterday,Inception,JSON,text/html,experimental,Namaste,Mason is a Product Manager with 21 years of experience.,Starry Night,Figure 5: Overview,Employee of the Month
Hotel California,Blade Runner,XML,application/json,approved,Bonjour,Sarah is a Data Analyst with 16 years of experience.,The Scream,Figure 6: Comparison,Best Paper
Imagine,Blade Runner,Parquet,application/xml,deprecated,Guten Tag,Sarah is a VP Engineering with 17 years of experience.,Water Lilies,Figure 14: Distribution,Employee of the Month
Imagine,Inception,XML,application/json,approved,Konnichiwa,Amy is a Sales Rep with 23 years of experience.,Starry Night,Figure 4: Distribution,Innovation Award
Hotel California,Blade Runner,XML,application/json,experimental,Konnichiwa,John is a Product Manager with 2 years of experience.,The Scream,Figure 12: Distribution,Gold Medal
Stairway to Heaven,Inception,YAML,application/pdf,stable,Konnichiwa,Lucas is a Product Manager with 29 years of experience.,The Persistence of Memory,Figure 6: Overview,Excellence Award
Yesterday,Interstellar,YAML,image/png,deprecated,Hola,Olivia is a Data Analyst with 7 years of experience.,The Persistence of Memory,Figure 20: Timeline,Employee of the Month
Imagine,Inception,Parquet,text/csv,high-priority,Konnichiwa,Michael is a VP Engineering with 8 years of experience.,The Scream,Figure 15: Overview,Gold Medal
