channel,period_interval_raw,deleted_at_v2,period_interval,about,browserUserAgent,periodInterval,score_index_info,day_of_week_raw,region,src_date,v_677,CHANNEL,f_versi,month,day_of_week,BROWSER_USER_AGENT,devtype,v_zve,translation,nullableFlag,dte,endDate,HEADLINE_TITLE_TEXT,channel_2,vby19,medium,file_path,date_v2,dim_chan,qtrval,year_6,sadt73,p_488,created_at,v_868,tenant_identifier,measvol,user_device_type,chrome,enddt,channel_14,SCORE_INDEX,ifpg43,whifrq29,from_date,q3,dim_end_,monthval,src_salary_compensation,val_836,year,src_end_date,dim_time,fact_quarter,dev_type,meta_onpm,datetime,year_2,v_873,educationLevel,c_601,VITAL_SIGN,d_ji,error,eaxwws4,kjpyvu64,raw_timestamp,price_cost_val,THRESHOLD_LIMIT,end_dt,dim_etl_batch_id,ttl
Mobile,FY 2025,,H2 2023,This record includes customer interactions.,Firefox,H2 2023,8.68,Thursday,IL,2019-04-18,1.75,Email,2.16.49,May,Friday,Firefox,IoT,Safari,Hola,false,2024-11-16,2019-08-17,New: Partnership,Social Media,Smart TV,Email,/var/config/export_544.parquet,2021-06-25,Email,Q4 2020,1992,6.43,2020-12-22T00:00:00Z,2020-05-25 21:44:49,2019-12-08,tenant-047,3309.67,IoT,Firefox,2022-01-30,Web,8.76,August,voice_644bec9aaa192ae5.wav,2020-08-19,Q4 2020,2026-07-27,August,"$59,912",2008,2006,2019-08-26,01:40:07,Q3 2024,IoT,Q2 2021,2018-10-27T00:00:00Z,1995,Metformin 500mg,Associate's,Brave,BP 118/94 HR 65,true,HTTP 503 Service Unavailable,+81,Firefox,2019-04-21T07:42:05Z,3722.94,max=9896,2025-04-10,batch-20210920-97,267 days
In-Store,2020-2025,,Q1 2024,The customer account monitors operational metrics.,Opera,2020-2025,9.46,Saturday,MA,2024-07-02,1.65,Phone,0.10.14,February,Wednesday,Chrome,Wearable,Opera,Namaste,YES,2023-11-01,2021-01-09,Breaking: Partnership,Social Media,Wearable,Chat,/var/config/export_954.xml,2021-10-20,Chat,Q2 2022,1990,7.11,2022-03-26T00:00:00Z,2026-03-19 13:38:23,2025-06-06,tenant-041,3209.64,Tablet,Safari,2025-11-14,Web,5.78,April,voice_579b4041247476b3.wav,2021-11-11,Q2 2024,2024-07-26,May,"$48,240",2001,2025,2018-06-16,12:13:26,Q2 2020,IoT,Q4 2020,2024-02-18T00:00:00Z,2024,Lisinopril 10mg,Associate's,Safari,BP 146/86 HR 103,false,HTTP 503 Service Unavailable,+44,Firefox,2023-09-03 03:58:09,755.51,crit=1062,2022-04-18,batch-20220110-09,234 days
Web,FY 2025,,FY 2025,The system represents compliance records.,Firefox,Q1 2024,3.24,Tuesday,GA,2024-07-06,8.65,Mobile,1.4.31,January,Saturday,Chrome,Mobile,Firefox,Guten Tag,YES,2023-12-22,2018-03-31,Breaking: Policy Change,Email,Tablet,Social Media,/var/uploads/daily_396.log,2018-11-05,Email,Q1 2025,2013,7.23,2023-08-09T00:00:00Z,2019-09-21 07:31:38,2021-08-02,tenant-012,9520.05,Tablet,Chrome,2023-06-23,Phone,2.36,December,voice_287693cc0ecce918.wav,2021-01-02,Q4 2022,2021-05-20,September,"$204,040",2016,2009,2025-08-20,01:14:31,Q2 2025,Smart TV,Q2 2026,2023-01-30T00:00:00Z,2012,Albuterol 90mcg,Bachelor's,Brave,BP 141/93 HR 76,false,Connection timeout after 5279ms,+33,Chrome,2022-08-05 12:23:57,5459.35,crit=5012,2022-09-22,batch-20181127-35,37 days
Web,H2 2023,,FY 2025,The service includes operational metrics.,Chrome,FY 2025,6.36,Tuesday,MA,2026-08-15,8.4,Social Media,4.16.79,September,Friday,Chrome,Wearable,Edge,Guten Tag,true,2021-01-04,2023-09-14,Updated: Partnership,Email,Mobile,Social Media,/var/config/batch_378.yaml,2024-01-10,Email,Q2 2024,2025,6.58,2026-09-11T00:00:00Z,2026-01-13T07:07:20Z,2021-12-20,tenant-014,8727.05,IoT,Chrome,2021-06-23,Web,9.65,August,voice_88ebb92997df5d07.wav,2025-03-16,Q4 2021,2021-03-16,September,"$41,962",1994,2014,2019-06-07,00:29:03,Q1 2026,IoT,Q3 2020,2021-10-07T00:00:00Z,1992,Metformin 500mg,High School,Opera,BP 91/64 HR 109,false,Connection timeout after 7012ms,+33,Edge,2022-04-23 04:38:26,5944.16,max=7559,2022-04-26,batch-20200227-50,170 days
Mobile,H2 2023,,Jan-Mar,The service includes data processing activities.,Brave,2020-2025,7.23,Tuesday,OH,2022-10-25,9.21,Chat,2.8.83,May,Thursday,Firefox,Desktop,Safari,Konnichiwa,YES,2024-07-22,2021-01-09,New: Product Launch,In-Store,Smart TV,Chat,/var/logs/export_232.parquet,2019-02-22,In-Store,Q3 2022,1995,5.86,2020-03-03T00:00:00Z,2022-11-27T19:44:23Z,2019-06-02,tenant-024,1914.15,Desktop,Opera,2025-07-06,Chat,2.17,December,voice_3f00dd50f35ab6fb.wav,2024-10-12,Q3 2024,2018-04-01,June,"$217,720",2014,1994,2021-04-26,19:07:24,Q4 2023,Smart TV,Q1 2024,2019-08-13T00:00:00Z,2001,Omeprazole 20mg,Associate's,Edge,BP 140/71 HR 95,true,FileNotFoundError: 4468,+44,Firefox,2026-10-26 23:37:12,8397.37,max=1715,2025-03-27,batch-20220913-24,273 days
Web,H2 2023,,H2 2023,The system tracks transaction histories.,Brave,2020-2025,5.93,Friday,PA,2018-06-30,6.71,Phone,2.16.22,March,Friday,Chrome,Mobile,Opera,Namaste,true,2020-03-23,2021-03-07,Breaking: Product Launch,Web,IoT,Phone,/var/uploads/batch_14.csv,2021-04-22,Email,Q4 2025,2003,9.27,2024-09-04T00:00:00Z,2019-12-01 22:26:34,2026-08-30,tenant-008,3318.89,Smart TV,Opera,2019-02-15,Web,0.08,May,voice_351f3a1931d59bab.wav,2023-04-23,Q3 2024,2021-10-08,April,"$119,317",2023,2025,2023-11-30,22:32:06,Q4 2022,Desktop,Q4 2023,2024-09-03T00:00:00Z,2013,Albuterol 90mcg,Master's,Edge,BP 120/86 HR 95,false,ValueError: invalid literal for int(),+86,Safari,2024-10-21 04:37:48,1621.19,min=2683,2024-04-27,batch-20261015-42,166 days
Social Media,FY 2025,,2020-2025,The system represents compliance records.,Firefox,Q1 2024,1.68,Tuesday,MA,2020-06-03,0.12,In-Store,3.11.71,May,Saturday,Firefox,IoT,Brave,Hola,NO,2019-06-18,2020-07-28,Updated: Policy Change,Web,Desktop,Chat,/var/tmp/batch_287.log,2018-10-24,Chat,Q4 2024,2014,7.12,2019-06-10T00:00:00Z,2023-05-15T04:33:42Z,2018-01-13,tenant-022,2804.59,Smart TV,Edge,2020-08-01,Web,3.8,September,voice_50bc32667ae7251b.wav,2026-07-14,Q1 2021,2021-03-18,January,"$144,523",2000,1996,2024-05-24,15:24:26,Q4 2024,Desktop,Q2 2024,2025-10-23T00:00:00Z,2017,Ibuprofen 200mg,Bachelor's,Chrome,BP 97/75 HR 115,false,ValueError: invalid literal for int(),+86,Safari,2025-08-15 07:05:51,6129.89,crit=9446,2024-06-09,batch-20200726-42,222 days
Web,Jan-Mar,,2020-2025,The product represents operational metrics.,Edge,Jan-Mar,7.22,Friday,OH,2020-01-17,5.02,Mobile,1.9.72,December,Wednesday,Chrome,Smart TV,Chrome,Namaste,NO,2024-03-31,2025-07-10,New: Partnership,Web,Mobile,Social Media,/var/exports/daily_250.log,2023-03-11,Email,Q4 2020,2014,2.27,2020-09-26T00:00:00Z,2020-12-03 08:33:45,2024-06-15,tenant-008,5576.89,Mobile,Firefox,2025-05-04,Chat,5.38,October,voice_1653cf2c811e07ae.wav,2025-05-21,Q3 2020,2025-11-24,October,"$139,868",1995,2000,2020-05-04,19:01:38,Q4 2022,IoT,Q4 2022,2024-11-02T00:00:00Z,1990,Metformin 500mg,Associate's,Edge,BP 177/64 HR 58,false,Connection timeout after 7866ms,+86,Brave,2024-08-08T17:17:55Z,2380.27,max=6705,2022-08-17,batch-20220425-90,143 days
Social Media,Jan-Mar,,H2 2023,The service manages customer interactions.,Safari,FY 2025,5.27,Tuesday,WA,2026-12-24,6.95,Web,4.7.23,February,Tuesday,Safari,Wearable,Opera,Namaste,YES,2018-11-16,2024-10-10,Updated: Product Launch,Email,IoT,Mobile,/var/data/export_730.json,2021-12-25,Email,Q2 2026,2009,8.97,2021-03-19T00:00:00Z,2023-08-02T17:57:41Z,2024-11-30,tenant-024,3754.47,Tablet,Firefox,2018-08-29,Email,8.66,February,voice_0cf31014b66e32f6.wav,2025-02-08,Q1 2020,2024-02-10,September,"$119,234",2004,2022,2020-03-28,15:54:30,Q4 2022,IoT,Q3 2022,2025-06-20T00:00:00Z,2004,Ibuprofen 200mg,Associate's,Brave,BP 126/78 HR 74,false,Connection timeout after 1123ms,+33,Safari,2023-11-19 02:56:49,6838.82,max=4709,2026-05-04,batch-20230415-91,216 days
Social Media,2020-2025,,Jan-Mar,The product tracks customer interactions.,Safari,Jan-Mar,8.56,Thursday,CA,2020-09-30,4.52,Web,4.16.73,November,Monday,Brave,IoT,Firefox,Guten Tag,NO,2024-05-28,2026-09-14,New: Policy Change,In-Store,Tablet,Social Media,/var/logs/daily_668.csv,2025-06-19,Chat,Q2 2023,2019,8.77,2025-06-28T00:00:00Z,2026-05-03 04:57:40,2023-02-05,tenant-034,6618.71,Wearable,Firefox,2018-03-09,Mobile,1.33,July,voice_7c92bf1ff3180472.wav,2020-02-03,Q3 2020,2025-01-25,April,"$47,510",2024,2023,2019-02-23,11:32:26,Q4 2023,Smart TV,Q3 2024,2019-07-18T00:00:00Z,2006,Albuterol 90mcg,PhD,Firefox,BP 106/74 HR 64,true,ValueError: invalid literal for int(),+33,Firefox,2018-04-19T22:54:22Z,6703.19,max=8454,2021-10-02,batch-20181029-66,92 days
In-Store,Q1 2024,,2020-2025,The service monitors compliance records.,Firefox,Q1 2024,5.72,Friday,WA,2023-11-17,1.57,Web,2.9.56,May,Friday,Safari,Mobile,Safari,Konnichiwa,false,2018-12-02,2021-07-27,Breaking: Product Launch,In-Store,Smart TV,In-Store,/var/exports/batch_412.json,2026-06-28,Phone,Q1 2024,2011,9.62,2022-09-19T00:00:00Z,2023-05-24T18:38:38Z,2018-03-27,tenant-040,5590.61,IoT,Safari,2018-08-02,Web,4.84,October,voice_5bdac7c099a67c5f.wav,2019-11-02,Q3 2025,2020-04-19,July,"$141,231",1998,2016,2023-09-07,15:14:00,Q2 2022,Mobile,Q2 2021,2023-10-02T00:00:00Z,2015,Lisinopril 10mg,Master's,Safari,BP 152/78 HR 112,false,HTTP 503 Service Unavailable,+55,Edge,2024-03-23 07:08:28,8015.32,crit=8053,2019-10-01,batch-20190430-90,27 days
Phone,Jan-Mar,,FY 2025,The system tracks data processing activities.,Chrome,FY 2025,4.44,Wednesday,CO,2025-09-18,7.31,Social Media,0.7.41,July,Tuesday,Chrome,Wearable,Opera,Namaste,NO,2022-06-27,2026-03-09,New: Product Launch,In-Store,Wearable,Chat,/var/logs/daily_399.json,2026-01-27,In-Store,Q1 2023,2019,8.79,2026-08-11T00:00:00Z,2025-03-07 05:09:21,2026-05-03,tenant-023,5148.1,Tablet,Safari,2022-06-08,Chat,5.35,September,voice_02501137d5c06d41.wav,2019-01-30,Q2 2022,2026-09-17,December,"$128,222",2005,2014,2019-09-05,18:19:00,Q4 2026,Mobile,Q1 2021,2020-01-16T00:00:00Z,1999,Omeprazole 20mg,Bachelor's,Chrome,BP 166/97 HR 85,false,Connection timeout after 1789ms,+1,Chrome,2022-01-03T05:07:45Z,8930.56,max=3064,2026-05-29,batch-20240420-26,29 days
Chat,Jan-Mar,,H2 2023,The product manages operational metrics.,Chrome,2020-2025,5.49,Thursday,OH,2019-03-07,6.36,Phone,3.6.51,February,Monday,Firefox,Desktop,Firefox,Hola,NO,2025-09-02,2024-12-09,Updated: Product Launch,In-Store,Mobile,In-Store,/var/uploads/batch_200.yaml,2022-07-28,Social Media,Q1 2023,2009,0.24,2019-08-18T00:00:00Z,2018-05-15 11:17:08,2026-12-08,tenant-006,7518.16,Mobile,Chrome,2026-09-13,Chat,1.03,August,voice_2aece7df5edcaffe.wav,2025-11-28,Q2 2022,2023-12-12,May,"$129,555",1999,2006,2019-09-07,18:57:42,Q1 2026,Wearable,Q3 2023,2020-12-26T00:00:00Z,1992,Lisinopril 10mg,High School,Chrome,BP 156/95 HR 81,false,ValueError: invalid literal for int(),+33,Safari,2023-02-19 07:06:21,4873.16,min=6104,2025-04-02,batch-20210807-23,20 days
