longitude,airport,c_city,location_text,changelog_entry,portHarbor,PORT_HARBOR,airport_2,service_level_agreement,latitude,sku_product_code,templatePattern,AIRPORT,relationship_type,percentage,kobirc16,modified_by,landmarkPoi,var_407,relationshipType,country,country_2,time_zone,xls56,LATITUDE,artwork_creative_work,LANDMARK_POI,locationText,field_dr,continent,dock,filter_predicate,luminosityBrightness,district_borough,timeZone,probability_confidence,landmark,iso_country_code,uptime_availability,industrySector,address_line,airport_3,attr_credi,regionStateProvince,measlat,f_finge,legalEntityIdentifier,pressure,median,voiceprint,meta_nncf,ekvg19,geographicCoordinates,v_149,COUNTRY,val_add,v_fr,TIME_ZONE,cityTown,timestamp,user_landmark_poi,airport_4,tz,addrline,raw_airport,encoding,CONTINENT,airport_6,landmark_poi_6,dim_106,latitude_2,isoCountryCode,xocqfl7,LOCATION_TEXT,v_586,ISO_COUNTRY_CODE,longitude_2,period_interval,continent_2,country_3,duration,record_type_discriminator,nullable_flag,CITY_TOWN,utc_offset,investment_account,user_continent,checksum_hash,fact_time_zone,GEOGRAPHIC_COORDINATES,loctxt,isocc,etnbn54
-54.211647,SFO,Dallas,"Miami, Italy",v2.18.67: Removed caching.,Singapore,Busan,SIN,99.905% uptime,5.723359,JBV-6017,Hello {{name}},LAX,Child,12.36%,"-25.510898, 6.293138",susan.jones,Central Park,Port of LA,Manager,Canada,Italy,UTC,Antarctica,-64.13552,Starry Night,Big Ben,"Houston, Germany",PA,Asia,Shanghai,type > '2024',88722.0,East Side,America/New_York,0.3854,Eiffel Tower,AU,96.6456,Retail,9606 Pine Rd,LAX,511,GA,17.564793,fp_4f62723c04646895,MM44KA8NTOVU882RHN7T,26.5,-65.5666,voice_dd7a32ad7a76fd2f.wav,8925 Oak Ave,Golden Gate Bridge,"54.70069, -77.186082",Busan,Israel,836 Main St,BP 90/105 HR 87,CET,Los Angeles,2021-12-04T22:51:37Z,Central Park,SIN,America/New_York,2257 Main St,CDG,UTF-16,North America,CDG,Big Ben,2026-02-04,80.814728,US,LHR,"Dallas, Italy",Africa,BR,-32.635831,Jan-Mar,South America,Australia,35751,snapshot,YES,Seattle,Europe/London,INV-560306,South America,3d1e5ad36d79e23de6ea2af6365786dbb90601861ef0f96156fdd7e7647f8ac6,JST,"-18.946968, 157.103809","Houston, Singapore",JP,America/New_York
165.67128,LHR,Sydney,"Houston, Canada",v2.11.85: Added support for authentication.,Rotterdam,Hamburg,LHR,99.135% uptime,-7.064348,YWN-5975,Dear {{customer}},ORD,Parent,76.74%,"42.903449, 24.01411",amy.clark,Central Park,Port of LA,Sibling,Italy,Switzerland,JST,Europe,-34.292156,Starry Night,Big Ben,"Seattle, United Kingdom",PA,Europe,Singapore,date != 'active',63233.0,North Shore,JST,0.0291,Big Ben,CA,95.8123,Energy,1845 Pine Rd,LHR,498,MA,-38.19035,fp_521dc5ccad1ca878,PQNL5ZOW0LY3N2R3PET9,1918.7,-34.4161,voice_4bf7b6f7dfa959c2.wav,6742 Cedar Ln,Statue of Liberty,"18.051744, 74.721546",Shanghai,Mexico,678 Maple Dr,BP 156/65 HR 92,America/New_York,Phoenix,2018-11-05T09:05:16Z,Big Ben,SIN,Europe/London,3785 Park Blvd,CDG,UTF-16,North America,JFK,Eiffel Tower,2019-11-09,-61.822458,IN,ORD,"New York, India",Europe,BR,-154.490064,Q1 2024,Europe,Italy,68390,insert,YES,Berlin,PST,INV-205298,South America,b0d42d4387335cabf760688c92369ca708c4c10c3179c5fe8c9d62911336e45f,UTC,"-36.808616, -56.857691","Seattle, Norway",GB,UTC
-0.911712,LAX,London,"Tokyo, United States",v1.20.94: Improved API.,Shanghai,Rotterdam,SFO,99.276% uptime,51.147941,YSN-2940,Order #{{id}},SIN,Manager,13.4%,"11.655423, 46.880545",emma.robinson,Golden Gate Bridge,Busan,Manager,Spain,Israel,CET,Asia,-50.500865,Starry Night,Central Park,"Portland, Spain",IL,Africa,Rotterdam,type != '2024',61295.2,South Bay,Europe/London,0.251,Statue of Liberty,BR,96.4429,Technology,6650 Maple Dr,CDG,822,WA,-31.784213,fp_a981c41d6c7e2f32,TYWEMHVAP9YN0SMTEBOB,1030.8,20.2732,voice_c97d34034edb8775.wav,4450 Pine Rd,Central Park,"-4.29184, 56.290761",Hamburg,Italy,7000 Pine Rd,BP 113/97 HR 64,CET,Dallas,2024-10-11 04:24:26,Big Ben,NRT,Europe/London,8920 Main St,JFK,UTF-8,South America,ORD,Golden Gate Bridge,2018-06-02,27.84391,FR,LHR,"Chicago, Italy",South America,CA,36.628283,FY 2025,South America,United Kingdom,85064,update,YES,Houston,America/New_York,INV-894373,Oceania,61d7a106f191d5aeca41a207a579b5c3348636111333af33024fc6625764208f,Europe/London,"-57.129631, -82.290467","Phoenix, Netherlands",GB,America/New_York
-151.269276,LAX,Los Angeles,"Tokyo, Israel",v1.4.35: Added support for authentication.,Port of LA,Hamburg,SIN,99.224% uptime,-20.818655,CFS-8470,Dear {{customer}},SIN,Parent,24.17%,"-51.332814, -48.255943",olivia.thomas,Golden Gate Bridge,Busan,Child,Canada,Mexico,Europe/London,Asia,22.553677,The Persistence of Memory,Statue of Liberty,"Phoenix, Israel",WA,South America,Rotterdam,type > '2024',27255.7,North Shore,America/New_York,0.8631,Eiffel Tower,AU,95.4709,Finance,3804 Main St,SIN,342,OH,-35.629842,fp_606b2eb97426690c,NX4CIN4LUJK8ZLTQ4NJE,1337.9,-62.2485,voice_957662cb98e2e9d5.wav,4066 Elm St,Big Ben,"87.737213, -126.63664",Singapore,Mexico,71 Pine Rd,BP 148/70 HR 85,EST,Miami,2024-02-04 17:41:34,Central Park,JFK,PST,388 Maple Dr,JFK,UTF-16,North America,ORD,Statue of Liberty,2023-09-16,20.959317,IN,CDG,"Los Angeles, Italy",Antarctica,US,60.967328,H2 2023,Oceania,Singapore,21039,upsert,YES,New York,America/New_York,INV-126599,Asia,2c1286a77ce45132ec1e03a947e9458597c4a151fc4267dca84dc02207dbd73f,JST,"14.056084, -97.084183","Houston, Australia",IN,UTC
-140.693894,CDG,Paris,"Paris, Israel",v1.1.70: Fixed bug in API.,Busan,Rotterdam,JFK,99.509% uptime,0.188829,WRD-3423,Order #{{id}},SIN,Parent,27.35%,"-21.011484, 79.644399",elizabeth.anderson,Golden Gate Bridge,Busan,Spouse,Singapore,Mexico,America/New_York,Asia,-84.675778,The Scream,Eiffel Tower,"Atlanta, Mexico",CO,Asia,Shanghai,date < 'active',65277.6,Midtown,Europe/London,0.5355,Eiffel Tower,AU,97.6939,Retail,7235 Cedar Ln,CDG,649,GA,-0.679631,fp_7128e518fc615e27,KDZQDEKDFHN8IYDHRW6Q,1121.8,49.334,voice_4cc3cf7040f0fb58.wav,2655 Main St,Statue of Liberty,"78.789597, -152.829499",Shanghai,Canada,479 Cedar Ln,BP 144/105 HR 85,CET,Miami,2024-05-08 01:36:58,Big Ben,LAX,America/New_York,4734 Elm St,SFO,Latin-1,Europe,ORD,Central Park,2026-10-03,63.852858,BR,SIN,"Houston, Brazil",South America,GB,54.90588,FY 2025,North America,Italy,32519,insert,YES,Boston,Europe/London,INV-699952,Antarctica,4396c87fc084b7dc497799e09112aed8fd55b1bbca438dceef16b07dd8de8157,America/New_York,"75.873791, 11.091627","New York, Australia",GB,Europe/London
71.363977,LAX,Berlin,"London, Canada",v5.3.16: Added support for authentication.,Port of LA,Port of LA,CDG,99.46% uptime,9.433255,YXJ-8119,Hello {{name}},SIN,Sibling,64.39%,"14.491654, 55.617915",robert.williams,Statue of Liberty,Singapore,Child,Brazil,Germany,CET,Asia,0.961089,Starry Night,Central Park,"London, United States",OH,Oceania,Port of LA,status != 'prod',88871.0,Midtown,EST,0.5531,Central Park,GB,96.0013,Education,9321 Oak Ave,SFO,515,GA,8.398933,fp_e11a4456569e6fef,CZ3UUXLRCF6D7PGI553N,1716.3,51.5833,voice_d47dd1e3a880f9ea.wav,4797 Main St,Statue of Liberty,"-71.495628, 59.383648",Busan,Singapore,221 Cedar Ln,BP 141/69 HR 72,JST,Atlanta,2026-08-12T02:42:08Z,Statue of Liberty,SFO,UTC,7590 Cedar Ln,SFO,ASCII,South America,LAX,Statue of Liberty,2025-01-13,63.451408,MX,SFO,"Toronto, Netherlands",Europe,JP,155.141017,2020-2025,North America,South Korea,64697,insert,false,Dallas,EST,INV-321775,Africa,68c5fe1b7334cd54494bbd1870923b473cb863ad9ddbcdee8a407c5a6b5c5d52,CET,"28.28774, -43.669764","Berlin, Singapore",BR,EST
-94.825508,CDG,Toronto,"Chicago, India",v4.0.30: Removed logging.,Port of LA,Rotterdam,ORD,99.559% uptime,75.081746,JAY-4292,Dear {{customer}},SIN,Child,51.47%,"-78.334548, -141.414719",amy.smith,Statue of Liberty,Busan,Spouse,United Kingdom,South Korea,JST,South America,51.785873,The Scream,Eiffel Tower,"Tokyo, Mexico",CO,Oceania,Busan,type IN '2024',64897.5,North Shore,UTC,0.202,Central Park,JP,96.5907,Education,5427 Main St,JFK,586,CO,55.074538,fp_93c78844d10c982b,ZRYX5238RP4FAX7913VO,1222.5,-26.5444,voice_41a10876ee1853d9.wav,5053 Cedar Ln,Big Ben,"35.800623, -137.586543",Singapore,Spain,651 Elm St,BP 99/93 HR 65,CET,Boston,2026-07-11T00:26:54Z,Central Park,SIN,JST,7233 Pine Rd,CDG,Latin-1,Africa,ORD,Statue of Liberty,2026-05-26,-57.475034,JP,NRT,"Miami, Canada",Africa,CA,90.642545,H2 2023,South America,Canada,36599,delete,false,Denver,Europe/London,INV-841282,Europe,e64a323f5b36a64b0a2fcd3b337c4b4260e8662ec58a68afa79a2abcd707c770,PST,"80.875537, -138.908935","Boston, Germany",IN,CET
-118.948206,CDG,New York,"Sydney, Canada",v5.19.36: Fixed bug in authentication.,Busan,Shanghai,LHR,99.659% uptime,-11.89097,EWH-8651,Hello {{name}},LHR,Spouse,6.02%,"3.473115, 65.501593",sophia.martinez,Central Park,Port of LA,Parent,Canada,United Kingdom,JST,Asia,-27.141365,Starry Night,Big Ben,"Los Angeles, Germany",TX,Europe,Rotterdam,status = 'prod',97068.5,North Shore,UTC,0.9742,Eiffel Tower,BR,96.0211,Education,6995 Elm St,LAX,791,NC,5.20907,fp_65f1605f7c197b2c,TJB346QX7BY1FA24OQSH,228.9,-92.4857,voice_ca7d1a2812d8b9d1.wav,5971 Main St,Eiffel Tower,"-28.283717, 91.861249",Rotterdam,Sweden,3405 Pine Rd,BP 136/109 HR 58,PST,Atlanta,2023-11-02T15:12:13Z,Big Ben,CDG,CET,8108 Park Blvd,NRT,ASCII,Antarctica,LAX,Golden Gate Bridge,2026-02-02,43.367569,IN,ORD,"Seattle, Sweden",Africa,US,-45.796309,H2 2023,Antarctica,Italy,18796,snapshot,YES,New York,Europe/London,INV-240004,North America,cde5bbc3380cbd0d182580d0056e122c35b8a27e57a3418892cb1fa81089fff5,EST,"39.170166, -133.5991","Miami, Switzerland",DE,America/New_York
135.164097,SIN,Berlin,"Houston, South Korea",v1.2.97: Fixed bug in caching.,Rotterdam,Busan,LHR,99.871% uptime,71.744403,PBJ-4241,{{date}} - {{event}},SIN,Parent,3.02%,"48.115137, 87.108458",michael.thompson,Eiffel Tower,Hamburg,Child,Sweden,Norway,Europe/London,Asia,47.879151,The Persistence of Memory,Statue of Liberty,"London, Italy",WA,Africa,Shanghai,status IN 'prod',38253.8,Downtown,PST,0.0318,Golden Gate Bridge,US,99.5364,Manufacturing,9538 Main St,ORD,455,TX,59.896107,fp_9cd7e1132ee83e42,00R40NPN3EUVXTPORE0G,734.3,5.8082,voice_09ad0e825b2bff5e.wav,1699 Cedar Ln,Golden Gate Bridge,"62.268745, -35.119157",Singapore,Spain,1455 Cedar Ln,BP 128/79 HR 115,EST,San Francisco,2023-12-05T22:30:06Z,Golden Gate Bridge,JFK,UTC,4775 Main St,ORD,UTF-16,Asia,ORD,Eiffel Tower,2019-05-26,-51.905336,IN,NRT,"Los Angeles, Sweden",Africa,GB,-65.547939,Jan-Mar,Oceania,United States,3150,delete,true,Atlanta,EST,INV-780034,Europe,110c737d0c5baac3e79e84e1d93c5d04928b7f3635eccbcaf40dd56488b595ab,America/New_York,"22.022661, -161.648127","Sydney, Switzerland",CA,PST
54.355142,SIN,San Francisco,"Phoenix, Netherlands",v1.5.95: Added support for API.,Port of LA,Port of LA,JFK,99.783% uptime,52.442873,YJL-4030,Hello {{name}},LAX,Manager,27.18%,"-40.811873, 82.189854",harper.martin,Eiffel Tower,Port of LA,Manager,United Kingdom,Mexico,EST,Asia,-86.099563,The Persistence of Memory,Eiffel Tower,"Austin, Mexico",PA,Africa,Singapore,date > 'prod',14828.0,West End,America/New_York,0.9675,Golden Gate Bridge,MX,98.8452,Energy,6903 Pine Rd,LHR,545,CA,-43.424713,fp_8166d67685c8cb14,UZS0P0632IOZKXHCYIMO,1478.3,-20.5407,voice_c76c749136743556.wav,737 Elm St,Eiffel Tower,"-8.57994, -61.017429",Busan,Spain,3075 Maple Dr,BP 101/100 HR 61,CET,Austin,2026-07-20T06:29:58Z,Statue of Liberty,LAX,PST,3751 Oak Ave,CDG,ASCII,Oceania,NRT,Big Ben,2022-03-08,-0.857077,DE,SFO,"Phoenix, United Kingdom",Africa,MX,7.835469,Q1 2024,South America,United States,19041,upsert,NO,Seattle,JST,INV-872819,Africa,78029a9febdf2f9b82c0a578c332205809824b9c995906cdfb4781561ebc9f96,UTC,"41.913208, 119.118686","Paris, Netherlands",FR,Europe/London
-139.430959,SIN,Sydney,"Dallas, Switzerland",v4.16.5: Added support for authentication.,Shanghai,Busan,SFO,99.667% uptime,69.755175,JEN-9547,Order #{{id}},LHR,Parent,10.66%,"31.65809, -129.007139",olivia.miller,Big Ben,Busan,Manager,Japan,Germany,America/New_York,North America,-13.048467,Water Lilies,Eiffel Tower,"Denver, Canada",NC,Antarctica,Hamburg,type < '2024',89253.2,Downtown,EST,0.4262,Statue of Liberty,DE,96.6029,Technology,4557 Park Blvd,LHR,610,NY,-60.476452,fp_543dcef1ed0c9a7e,TSZ3LORU0KSL8Y9E7I7D,1686.1,-9.732,voice_8b696ac78aff52a8.wav,8621 Elm St,Central Park,"23.056299, 38.910256",Rotterdam,Italy,3442 Cedar Ln,BP 180/87 HR 69,JST,Tokyo,2022-12-07T17:07:25Z,Central Park,LAX,EST,2002 Elm St,LAX,Latin-1,Antarctica,NRT,Golden Gate Bridge,2026-10-27,-57.947533,US,JFK,"Phoenix, India",Europe,US,10.00117,FY 2025,North America,Brazil,37953,delete,true,San Francisco,UTC,INV-466867,Europe,694bfab35accc194e8bb08fde568bbd09cda80fc279e1db6a18339ab2f1d2d92,CET,"80.990671, 32.702481","Berlin, France",IN,UTC
147.335944,LHR,Phoenix,"Boston, Brazil",v0.2.85: Fixed bug in caching.,Singapore,Rotterdam,NRT,99.297% uptime,-29.093818,DEB-2949,{{date}} - {{event}},LAX,Parent,13.61%,"-15.398459, 10.315209",aiden.jackson,Central Park,Singapore,Sibling,Norway,Spain,JST,Asia,-41.145909,The Persistence of Memory,Statue of Liberty,"San Francisco, Israel",NC,Oceania,Busan,status != 'active',87243.6,South Bay,UTC,0.8794,Big Ben,GB,98.3879,Technology,9461 Main St,SFO,531,NC,-80.051033,fp_39c9dbfc2823eb52,2VZ6QIBRRM3PYDNC0PGW,1155.9,-21.5975,voice_3f53989683acc006.wav,8401 Park Blvd,Eiffel Tower,"-30.330805, -80.551095",Singapore,Sweden,3241 Oak Ave,BP 112/67 HR 93,JST,Miami,2026-07-07T09:07:00Z,Big Ben,NRT,PST,8970 Oak Ave,LHR,UTF-8,Antarctica,NRT,Central Park,2022-04-30,53.043736,JP,SIN,"Paris, France",Europe,BR,-48.711386,Q1 2024,Antarctica,Switzerland,27746,delete,YES,Paris,UTC,INV-900613,South America,79c3cddcb33ac6c11b7d46add4f384515210ff7175c2874fd2d83cf921cf73d8,UTC,"88.608385, -69.983332","Miami, Spain",GB,UTC
-121.343909,LHR,Sydney,"Miami, Spain",v5.15.20: Added support for API.,Hamburg,Port of LA,LAX,99.864% uptime,-18.720981,SPT-3151,Hello {{name}},SFO,Peer,84.64%,"-56.636019, -146.883953",john.lewis,Eiffel Tower,Shanghai,Sibling,Israel,Mexico,CET,Europe,-10.043333,The Scream,Central Park,"Dallas, Brazil",PA,North America,Singapore,date != 'prod',23578.1,East Side,JST,0.5718,Golden Gate Bridge,MX,99.3094,Healthcare,9305 Cedar Ln,JFK,427,NY,81.30523,fp_0d1cd9576980b06c,IOQ1FMTMF08UJIJ8JYOQ,1574.5,68.1252,voice_7562b7d5bef4e7f8.wav,1564 Cedar Ln,Eiffel Tower,"20.745311, 84.642802",Singapore,Norway,923 Park Blvd,BP 100/108 HR 88,PST,London,2019-02-28T14:57:00Z,Eiffel Tower,CDG,UTC,4401 Maple Dr,SIN,UTF-8,Europe,SFO,Golden Gate Bridge,2019-01-20,55.401015,GB,LHR,"London, Singapore",South America,IN,42.213904,Q1 2024,Asia,Mexico,13395,upsert,true,Boston,EST,INV-598263,Oceania,7c2a235685ee89e7dabb2d76cc4b69467d6fd2859d3864f987c3757a6952d86c,America/New_York,"4.171778, -36.537524","Austin, Italy",JP,EST
98.075648,ORD,Miami,"Paris, Germany",v4.11.8: Removed logging.,Port of LA,Rotterdam,LAX,99.655% uptime,-73.207128,RII-8919,Order #{{id}},LHR,Peer,28.31%,"-1.723479, -95.524497",jessica.anderson,Big Ben,Hamburg,Parent,Switzerland,France,America/New_York,Asia,32.741397,Starry Night,Central Park,"Phoenix, South Korea",IL,Europe,Busan,date != 'active',59177.3,Midtown,Europe/London,0.0783,Central Park,US,97.603,Healthcare,44 Cedar Ln,CDG,713,NY,49.391597,fp_526391dbc778d0de,DUD2PYHTBE5N3M3W0IDC,1868.8,-82.6983,voice_66602d0d2698122e.wav,2675 Park Blvd,Big Ben,"19.618172, 24.207911",Hamburg,Israel,3578 Park Blvd,BP 166/60 HR 80,EST,Portland,2018-09-07T22:05:55Z,Central Park,SFO,EST,1238 Park Blvd,NRT,Latin-1,Oceania,NRT,Statue of Liberty,2023-06-13,-70.20984,JP,NRT,"London, Canada",Antarctica,AU,102.620813,2020-2025,Oceania,Netherlands,54527,snapshot,YES,Los Angeles,JST,INV-455877,Asia,9443798411a6712343a36fa88d0b79d32f0bf0a72a76bd463c0e0adefb6fc1e0,EST,"-72.267024, -34.01451","Tokyo, Germany",BR,JST
