boolean_enumeration,month,percent,customer_list,attr_br,internal_communication,col_finan,marketIntelligence,dowval,rhfaj64
Active,November,4.52%,"Meridian Health, Acme Corp, Pioneer Software",7.7254,[INTERNAL] Q4 strategy review pending board approval,Q3 2027: $6M projected,Competitor Beacon Analytics launched StreamLine ERP,Friday,Acquire competitor
Disabled,October,45.14%,"Pacific Research Group, Beacon Analytics, Quantum Dynamics",2.0381,[INTERNAL] Q2 strategy review pending board approval,Q2 2024: $34M projected,Competitor Vertex Technologies launched FlexPay Platform,Sunday,Acquire competitor
Inactive,December,10.14%,"Catalyst Ventures, Beacon Analytics, Alpine Systems, Acme Corp",4.2426,[INTERNAL] Q1 strategy review pending board approval,Q1 2024: $88M projected,Competitor Quantum Dynamics launched Widget Pro,Saturday,Expand APAC market
Enabled,February,79.82%,"Catalyst Ventures, TechCo Industries, Quantum Dynamics, Acme Corp",3.5827,[INTERNAL] Q1 strategy review pending board approval,Q3 2024: $86M projected,Competitor TechCo Industries launched SmartHub X1,Saturday,Acquire competitor
Disabled,November,27.28%,"Vertex Technologies, Catalyst Ventures, Alpine Systems",9.0887,[INTERNAL] Q4 strategy review pending board approval,Q3 2024: $24M projected,Competitor Global Solutions launched AuditTrail Plus,Wednesday,IPO readiness
Inactive,June,69.21%,"Catalyst Ventures, Vertex Technologies, Global Solutions",2.8538,[INTERNAL] Q2 strategy review pending board approval,Q4 2024: $38M projected,Competitor Global Solutions launched FlexPay Platform,Monday,Expand APAC market
Disabled,May,70.78%,"Global Solutions, Pacific Research Group, Meridian Health, DataCraft Inc",9.291,[INTERNAL] Q4 strategy review pending board approval,Q3 2025: $58M projected,Competitor Pioneer Software launched AuditTrail Plus,Friday,Launch SaaS tier
Active,October,9.79%,"Global Solutions, Pioneer Software",3.0666,[INTERNAL] Q4 strategy review pending board approval,Q4 2024: $34M projected,Competitor Global Solutions launched StreamLine ERP,Monday,IPO readiness
Active,March,0.8%,"Vertex Technologies, Catalyst Ventures, Acme Corp, Pioneer Software, Alpine Systems",6.7408,[INTERNAL] Q3 strategy review pending board approval,Q1 2026: $80M projected,Competitor TechCo Industries launched DataSync 3000,Thursday,Acquire competitor
Inactive,April,11.73%,"Global Solutions, Meridian Health",8.4558,[INTERNAL] Q2 strategy review pending board approval,Q2 2027: $77M projected,Competitor Skyline Partners launched Widget Pro,Friday,IPO readiness
Active,May,89.81%,"Skyline Partners, Pioneer Software, Pacific Research Group",5.5034,[INTERNAL] Q2 strategy review pending board approval,Q3 2025: $60M projected,Competitor TechCo Industries launched Sentinel Monitor,Tuesday,Expand APAC market
Active,June,23.04%,"Acme Corp, Pioneer Software, DataCraft Inc",9.2496,[INTERNAL] Q2 strategy review pending board approval,Q3 2027: $74M projected,Competitor Pioneer Software launched AuditTrail Plus,Wednesday,IPO readiness
Enabled,February,19.08%,"TechCo Industries, Pioneer Software, Pacific Research Group",0.9144,[INTERNAL] Q4 strategy review pending board approval,Q2 2026: $70M projected,Competitor Pioneer Software launched FlexPay Platform,Tuesday,Launch SaaS tier
Disabled,November,43.24%,"Pacific Research Group, Quantum Dynamics",8.8332,[INTERNAL] Q1 strategy review pending board approval,Q1 2025: $83M projected,Competitor Meridian Health launched FlexPay Platform,Saturday,Expand APAC market
Inactive,February,35.58%,"Meridian Health, Pacific Research Group, DataCraft Inc, Alpine Systems, Vertex Technologies",4.9614,[INTERNAL] Q2 strategy review pending board approval,Q4 2026: $54M projected,Competitor Catalyst Ventures launched SmartHub X1,Wednesday,Expand APAC market
Enabled,June,16.88%,"DataCraft Inc, Global Solutions, Pacific Research Group",6.8694,[INTERNAL] Q3 strategy review pending board approval,Q3 2025: $92M projected,Competitor Vertex Technologies launched Sentinel Monitor,Sunday,Launch SaaS tier
Enabled,October,84.89%,"Skyline Partners, Pioneer Software, Pacific Research Group, Beacon Analytics",2.399,[INTERNAL] Q2 strategy review pending board approval,Q3 2025: $16M projected,Competitor Meridian Health launched VaultKeeper,Thursday,Expand APAC market
Disabled,May,0.65%,"Quantum Dynamics, TechCo Industries, Global Solutions, DataCraft Inc, Catalyst Ventures",3.2346,[INTERNAL] Q1 strategy review pending board approval,Q2 2026: $34M projected,Competitor Skyline Partners launched StreamLine ERP,Tuesday,Expand APAC market
Disabled,June,1.45%,"DataCraft Inc, Global Solutions, Skyline Partners, Acme Corp, Pioneer Software",6.5074,[INTERNAL] Q1 strategy review pending board approval,Q3 2024: $3M projected,Competitor Meridian Health launched NanoCore SDK,Tuesday,IPO readiness
Disabled,April,82.11%,"Quantum Dynamics, Global Solutions, Skyline Partners, Catalyst Ventures, TechCo Industries",1.875,[INTERNAL] Q4 strategy review pending board approval,Q3 2026: $37M projected,Competitor DataCraft Inc launched AuditTrail Plus,Thursday,IPO readiness
Disabled,October,95.62%,"Meridian Health, Quantum Dynamics, Alpine Systems, Skyline Partners, Global Solutions",3.864,[INTERNAL] Q4 strategy review pending board approval,Q2 2024: $12M projected,Competitor Catalyst Ventures launched SmartHub X1,Tuesday,Launch SaaS tier
Inactive,August,61.5%,"Pioneer Software, TechCo Industries, Skyline Partners",0.0117,[INTERNAL] Q4 strategy review pending board approval,Q4 2024: $78M projected,Competitor Vertex Technologies launched AuditTrail Plus,Monday,Acquire competitor
Enabled,October,9.4%,"TechCo Industries, Quantum Dynamics, Skyline Partners, Pacific Research Group",4.2247,[INTERNAL] Q1 strategy review pending board approval,Q4 2024: $27M projected,Competitor Beacon Analytics launched FlexPay Platform,Friday,Acquire competitor
Inactive,July,2.92%,"Beacon Analytics, Global Solutions, Catalyst Ventures, Pioneer Software, Skyline Partners",5.6631,[INTERNAL] Q4 strategy review pending board approval,Q1 2026: $100M projected,Competitor TechCo Industries launched Widget Pro,Friday,IPO readiness
Disabled,February,67.24%,"Vertex Technologies, Global Solutions, Pioneer Software, DataCraft Inc",1.5802,[INTERNAL] Q3 strategy review pending board approval,Q4 2024: $71M projected,Competitor Beacon Analytics launched NanoCore SDK,Sunday,Expand APAC market
Disabled,October,1.49%,"Catalyst Ventures, DataCraft Inc",2.856,[INTERNAL] Q4 strategy review pending board approval,Q1 2024: $24M projected,Competitor Acme Corp launched CloudGuard,Thursday,Launch SaaS tier
Active,November,13.9%,"Beacon Analytics, Meridian Health, Pacific Research Group",6.3843,[INTERNAL] Q3 strategy review pending board approval,Q1 2025: $76M projected,Competitor Meridian Health launched CloudGuard,Monday,IPO readiness
Inactive,March,19.7%,"DataCraft Inc, Pacific Research Group, Beacon Analytics",1.501,[INTERNAL] Q2 strategy review pending board approval,Q3 2024: $14M projected,Competitor Catalyst Ventures launched DataSync 3000,Tuesday,IPO readiness
Disabled,April,54.11%,"Vertex Technologies, Global Solutions, Skyline Partners, Beacon Analytics, Meridian Health",3.9002,[INTERNAL] Q4 strategy review pending board approval,Q2 2025: $51M projected,Competitor Acme Corp launched StreamLine ERP,Saturday,Acquire competitor
Inactive,March,59.32%,"Pioneer Software, Alpine Systems, Pacific Research Group, TechCo Industries, Quantum Dynamics",2.5573,[INTERNAL] Q3 strategy review pending board approval,Q4 2026: $59M projected,Competitor Quantum Dynamics launched SmartHub X1,Monday,IPO readiness
Inactive,January,38.21%,"Quantum Dynamics, Meridian Health",6.7625,[INTERNAL] Q3 strategy review pending board approval,Q1 2027: $19M projected,Competitor Acme Corp launched CloudGuard,Sunday,Expand APAC market
Active,April,1.01%,"Beacon Analytics, Quantum Dynamics",2.3762,[INTERNAL] Q2 strategy review pending board approval,Q1 2026: $11M projected,Competitor Vertex Technologies launched StreamLine ERP,Monday,Expand APAC market
Disabled,October,41.02%,"Acme Corp, Meridian Health, Pacific Research Group",9.9571,[INTERNAL] Q4 strategy review pending board approval,Q3 2026: $7M projected,Competitor Quantum Dynamics launched FlexPay Platform,Tuesday,Launch SaaS tier
Disabled,February,82.58%,"Vertex Technologies, Beacon Analytics, Meridian Health",9.6474,[INTERNAL] Q2 strategy review pending board approval,Q3 2026: $98M projected,Competitor TechCo Industries launched AuditTrail Plus,Monday,IPO readiness
Inactive,November,96.16%,"Quantum Dynamics, Acme Corp, Beacon Analytics",7.4098,[INTERNAL] Q3 strategy review pending board approval,Q1 2027: $30M projected,Competitor Global Solutions launched SmartHub X1,Friday,Expand APAC market
Inactive,August,1.39%,"Skyline Partners, Catalyst Ventures, Meridian Health, Quantum Dynamics",0.7646,[INTERNAL] Q2 strategy review pending board approval,Q4 2027: $21M projected,Competitor Global Solutions launched AuditTrail Plus,Sunday,Acquire competitor
Enabled,February,71.87%,"Pacific Research Group, Beacon Analytics, DataCraft Inc",5.2639,[INTERNAL] Q1 strategy review pending board approval,Q4 2025: $41M projected,Competitor Skyline Partners launched StreamLine ERP,Monday,Expand APAC market
Disabled,May,78.74%,"Catalyst Ventures, Alpine Systems, Pioneer Software, Beacon Analytics",2.747,[INTERNAL] Q4 strategy review pending board approval,Q1 2025: $22M projected,Competitor Meridian Health launched VaultKeeper,Monday,Expand APAC market
Active,March,83.2%,"Pacific Research Group, Beacon Analytics",7.7237,[INTERNAL] Q3 strategy review pending board approval,Q1 2024: $71M projected,Competitor Pacific Research Group launched StreamLine ERP,Monday,Expand APAC market
Active,February,28.52%,"Global Solutions, DataCraft Inc",7.659,[INTERNAL] Q3 strategy review pending board approval,Q2 2026: $82M projected,Competitor Pioneer Software launched VaultKeeper,Thursday,Launch SaaS tier
Active,February,78.46%,"Beacon Analytics, TechCo Industries",8.4911,[INTERNAL] Q2 strategy review pending board approval,Q3 2027: $30M projected,Competitor Pioneer Software launched DataSync 3000,Thursday,IPO readiness
Disabled,July,4.91%,"TechCo Industries, Alpine Systems, Beacon Analytics, Vertex Technologies, Global Solutions",4.6316,[INTERNAL] Q3 strategy review pending board approval,Q4 2027: $12M projected,Competitor Beacon Analytics launched DataSync 3000,Sunday,Launch SaaS tier
Inactive,May,49.86%,"Catalyst Ventures, Acme Corp, Pacific Research Group, TechCo Industries, Pioneer Software",6.484,[INTERNAL] Q3 strategy review pending board approval,Q4 2025: $1M projected,Competitor Meridian Health launched StreamLine ERP,Monday,Launch SaaS tier
Inactive,February,21.56%,"Catalyst Ventures, Quantum Dynamics",8.3858,[INTERNAL] Q2 strategy review pending board approval,Q3 2024: $95M projected,Competitor Quantum Dynamics launched SmartHub X1,Monday,Acquire competitor
Enabled,May,38.18%,"Beacon Analytics, Meridian Health, Vertex Technologies, Quantum Dynamics, Global Solutions",7.9641,[INTERNAL] Q4 strategy review pending board approval,Q2 2026: $75M projected,Competitor Pioneer Software launched Widget Pro,Sunday,Expand APAC market
Active,October,45.16%,"DataCraft Inc, Quantum Dynamics, Pacific Research Group",0.0723,[INTERNAL] Q3 strategy review pending board approval,Q1 2026: $12M projected,Competitor Meridian Health launched DataSync 3000,Tuesday,Expand APAC market
Inactive,January,44.33%,"Alpine Systems, TechCo Industries, Skyline Partners, Acme Corp, Pioneer Software",7.0284,[INTERNAL] Q1 strategy review pending board approval,Q4 2027: $72M projected,Competitor Catalyst Ventures launched FlexPay Platform,Sunday,IPO readiness
Enabled,December,53.85%,"Pioneer Software, Meridian Health, Acme Corp",9.3113,[INTERNAL] Q4 strategy review pending board approval,Q2 2026: $99M projected,Competitor Beacon Analytics launched DataSync 3000,Friday,Expand APAC market
Disabled,October,39.32%,"DataCraft Inc, Quantum Dynamics, Catalyst Ventures",8.9678,[INTERNAL] Q1 strategy review pending board approval,Q3 2026: $57M projected,Competitor Global Solutions launched FlexPay Platform,Thursday,IPO readiness
Inactive,February,79.09%,"DataCraft Inc, Meridian Health, Alpine Systems, Global Solutions, Acme Corp",7.0717,[INTERNAL] Q1 strategy review pending board approval,Q4 2024: $85M projected,Competitor Quantum Dynamics launched VaultKeeper,Saturday,Acquire competitor
Active,August,73.56%,"DataCraft Inc, TechCo Industries, Vertex Technologies",0.2858,[INTERNAL] Q4 strategy review pending board approval,Q1 2027: $55M projected,Competitor Beacon Analytics launched AuditTrail Plus,Tuesday,IPO readiness
Inactive,February,69.76%,"Pioneer Software, Beacon Analytics, Vertex Technologies, DataCraft Inc",8.423,[INTERNAL] Q3 strategy review pending board approval,Q1 2026: $62M projected,Competitor Acme Corp launched NanoCore SDK,Saturday,IPO readiness
Active,March,83.17%,"Alpine Systems, Pacific Research Group, Pioneer Software, Quantum Dynamics",1.0084,[INTERNAL] Q4 strategy review pending board approval,Q3 2027: $50M projected,Competitor Alpine Systems launched Sentinel Monitor,Monday,Acquire competitor
Disabled,February,97.11%,"Global Solutions, Acme Corp",9.372,[INTERNAL] Q1 strategy review pending board approval,Q1 2024: $89M projected,Competitor Pacific Research Group launched StreamLine ERP,Sunday,Launch SaaS tier
Enabled,October,42.28%,"Pioneer Software, Alpine Systems, Global Solutions",3.6154,[INTERNAL] Q3 strategy review pending board approval,Q2 2026: $59M projected,Competitor Alpine Systems launched DataSync 3000,Wednesday,Expand APAC market
Inactive,April,34.72%,"Beacon Analytics, Acme Corp, Pioneer Software, Alpine Systems",0.6558,[INTERNAL] Q4 strategy review pending board approval,Q2 2024: $33M projected,Competitor DataCraft Inc launched FlexPay Platform,Tuesday,Launch SaaS tier
Disabled,September,37.36%,"TechCo Industries, Catalyst Ventures, Acme Corp",0.6455,[INTERNAL] Q2 strategy review pending board approval,Q2 2025: $2M projected,Competitor Vertex Technologies launched Widget Pro,Wednesday,Expand APAC market
Active,April,49.0%,"Pacific Research Group, Beacon Analytics, Quantum Dynamics, Vertex Technologies, Acme Corp",1.0604,[INTERNAL] Q3 strategy review pending board approval,Q1 2026: $56M projected,Competitor Pacific Research Group launched Widget Pro,Tuesday,Acquire competitor
Disabled,September,48.84%,"Vertex Technologies, Pacific Research Group",6.1058,[INTERNAL] Q2 strategy review pending board approval,Q4 2024: $35M projected,Competitor Alpine Systems launched SmartHub X1,Thursday,Expand APAC market
Active,September,76.5%,"Quantum Dynamics, Beacon Analytics, Catalyst Ventures, DataCraft Inc, Alpine Systems",1.3308,[INTERNAL] Q4 strategy review pending board approval,Q1 2027: $90M projected,Competitor DataCraft Inc launched AuditTrail Plus,Thursday,IPO readiness
Active,August,91.72%,"Pacific Research Group, Global Solutions, Vertex Technologies, Alpine Systems, Quantum Dynamics",9.3337,[INTERNAL] Q2 strategy review pending board approval,Q4 2024: $46M projected,Competitor Quantum Dynamics launched StreamLine ERP,Saturday,IPO readiness
Active,November,63.65%,"Catalyst Ventures, Global Solutions",2.5782,[INTERNAL] Q2 strategy review pending board approval,Q4 2027: $5M projected,Competitor Pacific Research Group launched Widget Pro,Sunday,IPO readiness
Enabled,June,4.09%,"Global Solutions, Quantum Dynamics, Catalyst Ventures, Beacon Analytics, TechCo Industries",5.4347,[INTERNAL] Q4 strategy review pending board approval,Q4 2026: $4M projected,Competitor TechCo Industries launched SmartHub X1,Friday,Expand APAC market
Inactive,September,46.13%,"Quantum Dynamics, Catalyst Ventures, TechCo Industries, Pioneer Software, Global Solutions",0.2195,[INTERNAL] Q2 strategy review pending board approval,Q3 2026: $28M projected,Competitor Beacon Analytics launched CloudGuard,Friday,Expand APAC market
Enabled,January,29.3%,"Quantum Dynamics, Skyline Partners, Beacon Analytics",4.3747,[INTERNAL] Q2 strategy review pending board approval,Q3 2027: $97M projected,Competitor Global Solutions launched SmartHub X1,Thursday,Launch SaaS tier
Disabled,April,23.26%,"DataCraft Inc, Quantum Dynamics",3.1851,[INTERNAL] Q3 strategy review pending board approval,Q3 2027: $84M projected,Competitor Beacon Analytics launched FlexPay Platform,Sunday,Launch SaaS tier
Inactive,February,97.65%,"Vertex Technologies, Pacific Research Group",2.9592,[INTERNAL] Q4 strategy review pending board approval,Q4 2024: $63M projected,Competitor Skyline Partners launched SmartHub X1,Monday,IPO readiness
Active,October,62.04%,"Alpine Systems, Skyline Partners, Pioneer Software, TechCo Industries",4.6537,[INTERNAL] Q3 strategy review pending board approval,Q1 2024: $97M projected,Competitor Acme Corp launched SmartHub X1,Saturday,Acquire competitor
