validationRule,policy,time_of_day,organizationName,v_594,auditFinding,pricing_strategy,leghold,retention_policy,tradesec,contract_value
UNIQUE,Data retained for 7 years,09:11:38,Pioneer Software,99.617% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2024-504,7 years,[CONFIDENTIAL] Formula #257,"$2,598,068"
BETWEEN 1 AND 100,MFA required for admin,20:27:11,Beacon Analytics,99.088% uptime,Non-conformance: access control,Penetration,HOLD-2023-550,7 years,[CONFIDENTIAL] Formula #858,"$7,463,719"
MATCHES '^[A-Z]+',PII encrypted at rest,14:42:45,DataCraft Inc,99.701% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2024-169,indefinite,[CONFIDENTIAL] Formula #146,"$6,031,054"
MATCHES '^[A-Z]+',PII encrypted at rest,08:58:27,Beacon Analytics,99.95% uptime,Major finding: data retention,Premium,HOLD-2021-322,7 days,[CONFIDENTIAL] Formula #470,"$3,626,037"
BETWEEN 1 AND 100,PII encrypted at rest,01:42:27,Global Solutions,99.975% uptime,Non-conformance: access control,Penetration,HOLD-2020-156,30 days,[CONFIDENTIAL] Formula #347,"$2,550,502"
CHECK (val > 0),MFA required for admin,22:30:31,DataCraft Inc,99.39% uptime,Non-conformance: access control,Premium,HOLD-2024-380,indefinite,[CONFIDENTIAL] Formula #213,"$9,011,331"
BETWEEN 1 AND 100,PII encrypted at rest,02:13:09,Vertex Technologies,99.301% uptime,Observation: backup schedule,Market-based,HOLD-2022-583,30 days,[CONFIDENTIAL] Formula #370,"$7,846,747"
BETWEEN 1 AND 100,Data retained for 7 years,19:35:22,Skyline Partners,99.765% uptime,Observation: backup schedule,Premium,HOLD-2022-135,7 days,[CONFIDENTIAL] Formula #576,"$2,356,650"
MATCHES '^[A-Z]+',MFA required for admin,22:19:53,DataCraft Inc,99.508% uptime,Major finding: data retention,Value pricing,HOLD-2024-893,7 days,[CONFIDENTIAL] Formula #127,"$9,723,041"
MATCHES '^[A-Z]+',MFA required for admin,16:27:27,Meridian Health,99.933% uptime,Major finding: data retention,Market-based,HOLD-2026-814,1 year,[CONFIDENTIAL] Formula #760,"$5,261,510"
NOT NULL,PII encrypted at rest,02:55:17,Vertex Technologies,99.029% uptime,Major finding: data retention,Penetration,HOLD-2025-328,1 year,[CONFIDENTIAL] Formula #838,"$8,193,489"
CHECK (val > 0),PII encrypted at rest,07:53:18,Pioneer Software,99.322% uptime,Observation: backup schedule,Value pricing,HOLD-2024-678,7 years,[CONFIDENTIAL] Formula #202,"$1,041,775"
BETWEEN 1 AND 100,PII encrypted at rest,23:58:36,Vertex Technologies,99.636% uptime,Observation: backup schedule,Market-based,HOLD-2021-264,30 days,[CONFIDENTIAL] Formula #814,"$7,212,123"
CHECK (val > 0),PII encrypted at rest,23:43:05,Pioneer Software,99.99% uptime,Non-conformance: access control,Market-based,HOLD-2020-110,30 days,[CONFIDENTIAL] Formula #608,"$196,368"
UNIQUE,PII encrypted at rest,11:47:03,Skyline Partners,99.842% uptime,Major finding: data retention,Penetration,HOLD-2026-809,7 years,[CONFIDENTIAL] Formula #810,"$9,455,611"
UNIQUE,MFA required for admin,22:02:57,Pacific Research Group,99.108% uptime,Observation: backup schedule,Market-based,HOLD-2026-667,7 years,[CONFIDENTIAL] Formula #764,"$9,981,317"
NOT NULL,Data retained for 7 years,13:33:57,TechCo Industries,99.155% uptime,Non-conformance: access control,Penetration,HOLD-2022-993,7 days,[CONFIDENTIAL] Formula #155,"$434,418"
BETWEEN 1 AND 100,MFA required for admin,19:43:05,Pacific Research Group,99.366% uptime,Observation: backup schedule,Premium,HOLD-2021-987,indefinite,[CONFIDENTIAL] Formula #777,"$2,640,266"
UNIQUE,PII encrypted at rest,08:20:22,Alpine Systems,99.339% uptime,Non-conformance: access control,Market-based,HOLD-2021-198,1 year,[CONFIDENTIAL] Formula #860,"$9,003,983"
MATCHES '^[A-Z]+',PII encrypted at rest,08:49:05,DataCraft Inc,99.622% uptime,Major finding: data retention,Premium,HOLD-2022-771,7 days,[CONFIDENTIAL] Formula #557,"$6,754,883"
MATCHES '^[A-Z]+',MFA required for admin,06:13:03,DataCraft Inc,99.552% uptime,Observation: backup schedule,Penetration,HOLD-2024-434,indefinite,[CONFIDENTIAL] Formula #142,"$8,090,319"
NOT NULL,PII encrypted at rest,23:42:43,Pioneer Software,99.435% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2020-959,7 years,[CONFIDENTIAL] Formula #941,"$3,510,871"
BETWEEN 1 AND 100,Data retained for 7 years,20:50:04,Pioneer Software,99.14% uptime,Observation: backup schedule,Value pricing,HOLD-2020-821,indefinite,[CONFIDENTIAL] Formula #763,"$1,907,059"
NOT NULL,PII encrypted at rest,06:01:43,Alpine Systems,99.578% uptime,Major finding: data retention,Market-based,HOLD-2026-643,30 days,[CONFIDENTIAL] Formula #170,"$4,630,363"
CHECK (val > 0),Data retained for 7 years,17:28:56,Pioneer Software,99.519% uptime,Major finding: data retention,Premium,HOLD-2024-506,30 days,[CONFIDENTIAL] Formula #617,"$9,678,477"
UNIQUE,Data retained for 7 years,20:11:35,Quantum Dynamics,99.056% uptime,Non-conformance: access control,Cost-plus 25%,HOLD-2024-467,7 days,[CONFIDENTIAL] Formula #428,"$6,441,123"
NOT NULL,MFA required for admin,06:47:06,Vertex Technologies,99.096% uptime,Major finding: data retention,Penetration,HOLD-2020-368,indefinite,[CONFIDENTIAL] Formula #462,"$8,873,271"
MATCHES '^[A-Z]+',PII encrypted at rest,10:16:39,Beacon Analytics,99.068% uptime,Observation: backup schedule,Value pricing,HOLD-2020-708,30 days,[CONFIDENTIAL] Formula #656,"$7,188,453"
CHECK (val > 0),PII encrypted at rest,14:04:39,Pioneer Software,99.187% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2025-481,1 year,[CONFIDENTIAL] Formula #622,"$7,683,205"
CHECK (val > 0),MFA required for admin,15:02:21,Alpine Systems,99.381% uptime,Non-conformance: access control,Cost-plus 25%,HOLD-2026-904,7 days,[CONFIDENTIAL] Formula #953,"$6,243,099"
BETWEEN 1 AND 100,Data retained for 7 years,18:41:19,Quantum Dynamics,99.626% uptime,Non-conformance: access control,Value pricing,HOLD-2020-979,7 days,[CONFIDENTIAL] Formula #241,"$3,720,608"
CHECK (val > 0),Data retained for 7 years,13:25:40,Pacific Research Group,99.86% uptime,Observation: backup schedule,Cost-plus 25%,HOLD-2026-949,1 year,[CONFIDENTIAL] Formula #129,"$5,863,690"
MATCHES '^[A-Z]+',Data retained for 7 years,16:54:23,Meridian Health,99.373% uptime,Observation: backup schedule,Penetration,HOLD-2022-596,indefinite,[CONFIDENTIAL] Formula #688,"$3,579,527"
BETWEEN 1 AND 100,MFA required for admin,22:15:37,TechCo Industries,99.927% uptime,Observation: backup schedule,Penetration,HOLD-2022-331,7 years,[CONFIDENTIAL] Formula #255,"$9,521,851"
MATCHES '^[A-Z]+',Data retained for 7 years,22:12:20,Global Solutions,99.083% uptime,Major finding: data retention,Penetration,HOLD-2026-967,7 days,[CONFIDENTIAL] Formula #706,"$2,102,948"
NOT NULL,Data retained for 7 years,14:27:58,Pioneer Software,99.272% uptime,Non-conformance: access control,Value pricing,HOLD-2021-357,30 days,[CONFIDENTIAL] Formula #272,"$1,363,245"
NOT NULL,Data retained for 7 years,20:37:03,Global Solutions,99.437% uptime,Observation: backup schedule,Market-based,HOLD-2021-596,7 years,[CONFIDENTIAL] Formula #296,"$9,274,637"
NOT NULL,Data retained for 7 years,07:00:39,Beacon Analytics,99.243% uptime,Observation: backup schedule,Value pricing,HOLD-2021-355,7 years,[CONFIDENTIAL] Formula #646,"$229,157"
UNIQUE,PII encrypted at rest,12:13:51,DataCraft Inc,99.738% uptime,Non-conformance: access control,Premium,HOLD-2023-370,30 days,[CONFIDENTIAL] Formula #922,"$6,123,655"
BETWEEN 1 AND 100,PII encrypted at rest,12:57:58,Beacon Analytics,99.393% uptime,Major finding: data retention,Cost-plus 25%,HOLD-2025-774,1 year,[CONFIDENTIAL] Formula #667,"$693,432"
NOT NULL,Data retained for 7 years,22:23:58,Beacon Analytics,99.576% uptime,Observation: backup schedule,Market-based,HOLD-2024-218,1 year,[CONFIDENTIAL] Formula #580,"$6,258,964"
NOT NULL,Data retained for 7 years,10:17:14,Meridian Health,99.543% uptime,Major finding: data retention,Value pricing,HOLD-2023-653,7 days,[CONFIDENTIAL] Formula #673,"$837,509"
BETWEEN 1 AND 100,PII encrypted at rest,19:58:45,Pioneer Software,99.274% uptime,Major finding: data retention,Cost-plus 25%,HOLD-2026-388,indefinite,[CONFIDENTIAL] Formula #632,"$1,930,303"
CHECK (val > 0),MFA required for admin,20:50:53,TechCo Industries,99.955% uptime,Observation: backup schedule,Penetration,HOLD-2023-194,indefinite,[CONFIDENTIAL] Formula #773,"$9,974,243"
CHECK (val > 0),PII encrypted at rest,03:29:05,Acme Corp,99.004% uptime,Observation: backup schedule,Value pricing,HOLD-2023-963,30 days,[CONFIDENTIAL] Formula #505,"$6,568,022"
BETWEEN 1 AND 100,MFA required for admin,17:23:18,Pioneer Software,99.314% uptime,Observation: backup schedule,Market-based,HOLD-2026-994,7 years,[CONFIDENTIAL] Formula #325,"$8,358,768"
